Pathway,Count
"Influenza A mouse blood, 1 day post-infection GSE57384 microbe:299",324
Hepatitis C virus human CD4+ T-lymphocytes GDS4880 microbe:118,376
Aeromonas caviae mouse small intestine (neonatal) GDS2552 microbe:166,303
Trypanosoma cruzi mouse skin GSE13522 microbe:247,210
gammaherpesvirus 68 (MHV-68) mouse spleen GDS4775 microbe:111,271
Trypanosoma cruzi mouse skin GSE13522 microbe:249,315
Leishmania braziliensis human skin GSE55664 microbe:256,300
Leishmania braziliensis human skin GSE55664 microbe:257,300
Yersinia enterocolitica mouse bone marrow-derived macrophages GDS1465 microbe:34,307
Mycobacterium tuberculosis mouse lung GDS4257 microbe:64,228
Mycobacterium tuberculosis mouse lung GDS4257 microbe:65,511
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:181,242
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:183,324
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:182,199
murine norovirus type 1 mouse macrophage RAW264.7 cells GDS3549 microbe:177,180
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:184,244
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:187,346
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:186,374
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:189,372
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:188,409
Burkholderia pseudomallei mouse Lung GSE61106 microbe:286,395
Burkholderia pseudomallei mouse Lung GSE61106 microbe:287,304
Sendai virus mouse macrophages GSE2935 microbe:309,272
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:153,309
"Influenza A mouse lung, 9 days post-infection GSE57452 microbe:315",372
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:156,275
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:157,304
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:154,245
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:155,300
Lactobacillus GG mouse intestinal epithelial cells GDS1516 microbe:70,258
Human immunodeficiency virus human white matter GDS4358 microbe:138,324
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:158,297
Mycobacterium tuberculosis mouse lung GDS4967 microbe:222,552
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:148,218
Leishmania braziliensis human skin (CD8 T cells) GSE43880 microbe:258,291
Brucella abortus human monocyte-derived dendritic cells GSE49016 microbe:294,425
Salmonella enterica serovar Typhimurium mouse cecum GDS4622 microbe:69,276
Mycobacterium tuberculosis mouse lung GDS4257 microbe:63,193
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:140,216
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:141,184
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:142,186
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:143,125
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:144,253
Neisseria gonorrhoeae human peripheral blood mononuclear cells (PBMC) GDS1646 microbe:172,352
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:146,203
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:147,210
gammaherpesvirus 68 (MHV-68) mouse spleen GDS4775 microbe:108,467
Mycobacterium tuberculosis human PBMC GSE16250 microbe:237,358
"influenza A mouse lymph node, 9 days post-infection GSE57453 microbe:338",400
Pseudomonas aeruginosa mouse corneal epithelial cells GSE41147 microbe:296,368
Pseudomonas aeruginosa mouse cultured airway epithelial cells GDS3040 microbe:52,365
Hepatitis C virus JFH-1 human Huh7 hepatoma cells GDS4160 microbe:96,295
H1N1 influenza virus human macrophage GDS3595 microbe:92,392
Rickettsia prowazekii str. Rp22 human endothelial cells GDS3848 microbe:81,460
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:192,368
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:190,324
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:191,348
"Influenza A mouse lung, 4 days post-infection GSE57452 microbe:311",401
"Uropathogenic Escherichia coli mouse urothelium, proximal GSE6419 microbe:341",315
Chlamydia trachomatis human HeLa GSE56168 microbe:280,326
Francisella tularensis subsp. novicida  human Peripheral blood monocyte GDS3298 microbe:205,321
"influenza A mouse spleen, 9 days post-infection GSE57454 microbe:326",320
"H1N1 influenza virus (seasonal strain, BN/59) human primary lung bronchial epithelial cells GDS4855 microbe:120",287
"influenza A mouse spleen, 5 days post-infection GSE57454 microbe:322",353
human papilloma virus (HPV) human head and neck squamous cell carcinoma (HNSCC) tumors GDS1667 microbe:170,337
"influenza A mouse spleen, 8 days post-infection GSE57454 microbe:325",326
Helicobacter pylori mouse gastric epithelial progenitor (mGEP) cells GDS3346 microbe:74,399
Helicobacter pylori mouse gastric epithelial progenitor (mGEP) cells GDS3346 microbe:72,166
rhinovirus human bronchial epithelial cells (BECs) GDS4832 microbe:214,236
Yersinia enterocolitica mouse Peyer's patch GDS2100 microbe:85,409
Trypanosoma cruzi mouse skin GSE13522 microbe:252,275
"Influenza A mouse blood, 0 days post-infection GSE57384 microbe:298",314
Aspergillus fumigatus human dendritic cells GDS2749 microbe:282,300
Plasmodium berghei ANKA mouse brain (Balb/C mice) GDS3145 microbe:198,326
Pseudomonas aeruginosa mouse cultured airway epithelial cells GDS3040 microbe:50,302
Plasmodium berghei ANKA mouse brain (Balb/C mice) GDS3145 microbe:196,257
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:185,396
Neisseria gonorrhoeae human peripheral blood mononuclear cells (PBMC) GDS1646 microbe:171,413
Chlamydia trachomatis human CNDT-2 (enteroendcrine) cell line GSE58151 microbe:269,292
Sendai virus (SeV) mouse tracheal epithelial cells GDS3210 microbe:178,308
Chlamydia trachomatis human A2EN (Human endocervical epithelial) cells GSE54336 microbe:268,385
pandemic influenza H1N1 (pdmH1N1) A virus (A/Hong Kong/415742/2009) human type I-like alveolar epithelial cells GDS4239 microbe:22,365
Trypanosoma cruzi  HeLa GSE7047 microbe:248,119
