Pathway,Count
adenoma,14
alopecia,11
alzheimer disease,26
anemia,61
aneurysm,18
anomalies,13
arrhythmogenic right ventricular dysplasia,13
asthma,23
ataxia,60
autism,19
bardet-biedl syndrome,15
blood,36
bone mineral density,12
breast cancer,28
cardiomyopathy,42
"cardiomyopathy, dilated",33
"cardiomyopathy, hypertrophic",17
cataract,47
cdeficiency,13
celiac disease,14
charcot-marie-tooth disease,27
cholesterol level,15
ciliary dyskinesia,12
colorectal cancer,40
cone-rod dystrophy,15
convulsions,14
corneal dystrophy,14
deafness,111
dementia,12
diabetes,75
diabetes mellitus,58
"diabetes mellitus, type 1",27
"diabetes mellitus, type 2",32
disorder of glycosylation,19
dystonia,18
ectodermal dysplasia,11
ehlers-danlos,11
encephalopathy,14
epidermolysis bullosa,13
epilepsy,58
fanconi anemia,13
fibrosis,12
gastric cancer,11
glaucoma,16
glycogen storage disease,13
hypertension,29
hypogonadism,15
hypothyroidism,11
ichthyosis,17
immunodeficiency,28
inflammatory bowel disease,23
lateral sclerosis,19
leber amaurosis,13
leigh syndrome,14
leukemia,78
long qt syndrome,12
lung cancer,21
lymphoma,22
macular degeneration,18
malaria,14
melanoma,13
mental retardation,114
microcephaly,14
microphthalmia,19
migraine,16
muscular dystrophy,33
myocardial infarction,16
myopathy,44
myopia,15
neuropathy,35
obesity,31
orofacial cleft,19
osteoporosis,11
ovarian cancer,13
pancreatic cancer,11
parkinson disease,22
prostate cancer,30
psoriasis,12
retinitis pigmentosa,51
rheumatoid arthritis,13
schizophrenia,30
skin/hair/eye pigmentation,12
spastic paraplegia,32
spinocerebellar ataxia,37
stature,24
systemic lupus erythematosus,28
thrombophilia,11
thyroid carcinoma,17
usher syndrome,11
zellweger syndrome,12
