Pathway,Count
adenocarcinoma,83
adenoma,80
adrenoleukodystrophy,83
aids,84
albinism,86
alopecia,88
alzheimer disease,103
amelogenesis imperfecta,84
amyloidosis,84
anemia,60
aneurysm,95
anomalies,90
arrhythmogenic right ventricular dysplasia,90
arthrogryposis,83
asperger syndrome,83
asthma,99
ataxia,59
atopy,83
atrial fibrillation,85
attention-deficit hyperactivity disorder,86
autism,96
autoimmune disease,83
bardet-biedl syndrome,92
bare lymphocyte syndrome,83
bartter syndrome,83
blood,113
body mass index,84
bone mineral density,89
brachydactyly,86
breast cancer,105
cardiomyopathy,118
"cardiomyopathy, dilated",110
"cardiomyopathy, hypertrophic",93
cataract,124
cdeficiency,90
celiac disease,91
central hypoventilation syndrome,83
"ceroid-lipofuscinosis, neuronal",85
charcot-marie-tooth disease,104
cholestasis,83
cholesterol level,92
chondrodysplasia,86
ciliary dyskinesia,89
coloboma,86
colon cancer,84
colorectal cancer,111
complex i,86
cone dystrophy,86
cone-rod dystrophy,92
convulsions,91
corneal dystrophy,91
coronary artery disease,87
coronary heart disease,86
cutis laxa,84
deafness,110
dementia,89
dermatitis,84
diabetes,74
diabetes mellitus,57
"diabetes mellitus, type 1",103
"diabetes mellitus, type 2",106
diamond-blackfan anemia,85
disorder of glycosylation,96
dyskeratosis,83
dyslexia,84
dystonia,94
ectodermal dysplasia,88
ehlers-danlos,88
encephalopathy,91
endometrial cancer,84
epidermolysis bullosa,90
epilepsy,57
"epiphyseal dysplasia, multiple",84
episodic ataxia,83
fanconi anemia,90
fetal hemoglobin quantitative trait locus,83
fibrosis,89
gastric cancer,87
glaucoma,93
glioblastoma,83
glycogen storage disease,90
goiter,83
hemochromatosis,83
hepatocellular carcinoma,85
hermansky-pudlak syndrome,85
hirschsprung disease,87
hiv,86
holoprosencephaly,86
homocystinuria,83
hypercholesterolemia,86
hypertension,106
hypoglycemia,84
hypogonadism,90
hypothyroidism,86
hypotrichosis,87
ichthyosis,94
immunodeficiency,105
infections,83
inflammatory bowel disease,100
joubert syndrome,85
kallmann syndrome,83
keratosis,83
lateral sclerosis,96
leber amaurosis,90
leigh syndrome,91
leukemia,77
leukodystrophy,85
leukoencephalopathy,85
lipodystrophy,83
lissencephaly,83
long qt syndrome,88
lung cancer,97
lymphedema,83
lymphoma,99
lymphoproliferative syndrome,83
macular degeneration,95
macular dystrophy,87
major affective disorder,87
malaria,91
malignant hyperthermia,83
meckel syndrome,83
melanoma,90
mental retardation,113
microcephaly,91
microphthalmia,96
migraine,93
mitochondrial dna depletion syndrome,83
mucopolysaccharidosis,83
multiple sclerosis,86
muscular dystrophy,109
myasthenic syndrome,85
myocardial infarction,93
myopathy,120
myopia,92
nephronophthisis,83
nephropathy,87
neuropathy,112
neutropenia,84
nevus,84
night blindness,84
obesity,107
optic atrophy,85
orofacial cleft,96
osteoarthritis,85
osteopetrosis,85
osteoporosis,87
otosclerosis,83
ovarian cancer,89
ovarian failure,84
paget disease,83
pancreatic cancer,88
parkinson disease,99
pheochromocytoma,83
polydactyly,84
porphyria,84
preeclampsia,83
prostate cancer,107
pseudohypoaldosteronism,84
psoriasis,89
refsum disease,83
renal cell carcinoma,85
restless legs syndrome,83
retinitis pigmentosa,50
rheumatoid arthritis,90
rickets,85
sarcoma,84
schizophrenia,107
seizures,85
skin/hair/eye pigmentation,89
spastic paraplegia,109
spinal muscular atrophy,86
spinocerebellar ataxia,114
split-hand/foot malformation,85
squamous cell carcinoma,84
stature,101
systemic lupus erythematosus,105
thalassemia,85
thrombocytopenia,87
thrombophilia,88
thyroid carcinoma,93
tuberculosis,86
usher syndrome,88
vitreoretinopathy,83
waardenburg syndrome,85
wilms tumor,84
xeroderma pigmentosum,87
zellweger syndrome,89
