Pathway,Count
12p12.1 microdeletion syndrome ORPHA:313884,101
12q14 microdeletion syndrome ORPHA:94063,102
12q15q21.1 microdeletion syndrome ORPHA:289513,101
14q11.2 microduplication syndrome ORPHA:261229,101
15q11q13 microduplication syndrome ORPHA:238446,101
15q13.3 microdeletion syndrome ORPHA:199318,101
15q14 microdeletion syndrome ORPHA:261190,101
15q24 microdeletion syndrome ORPHA:94065,101
16p13.2 microdeletion syndrome ORPHA:500055,101
16q24.3 microdeletion syndrome ORPHA:261250,101
17p11.2 microduplication syndrome ORPHA:1713,101
17p13.3 microduplication syndrome ORPHA:217385,102
17q11 microdeletion syndrome ORPHA:97685,101
17q11.2 microduplication syndrome ORPHA:139474,101
17q12 microdeletion syndrome ORPHA:261265,102
17q21.31 microdeletion syndrome ORPHA:363958,101
17q23.1q23.2 microdeletion syndrome ORPHA:261279,101
17q24.2 microdeletion syndrome ORPHA:529962,102
19p13.3 microduplication syndrome ORPHA:447980,101
1p21.3 microdeletion syndrome ORPHA:293948,101
1p31p32 microdeletion syndrome ORPHA:401986,101
1p36 deletion syndrome ORPHA:1606,105
1q44 microdeletion syndrome ORPHA:238769,101
2-aminoadipic 2-oxoadipic aciduria ORPHA:79154,101
2-methylbutyryl-CoA dehydrogenase deficiency ORPHA:79157,101
20p12.3 microdeletion syndrome ORPHA:261295,101
21q22.11q22.12 microdeletion syndrome ORPHA:261323,101
22q11.2 deletion syndrome ORPHA:567,109
22q11.2 duplication syndrome ORPHA:1727,101
2p21 microdeletion syndrome ORPHA:163693,104
2p21 microdeletion syndrome without cystinuria ORPHA:369881,102
2q23.1 microdeletion syndrome ORPHA:228402,101
2q24 microdeletion syndrome ORPHA:1617,101
2q32q33 microdeletion syndrome ORPHA:251019,101
2q37 microdeletion syndrome ORPHA:1001,101
3-hydroxy-3-methylglutaric aciduria ORPHA:20,101
3-hydroxy-3-methylglutaryl-CoA synthase deficiency ORPHA:35701,101
3-methylcrotonyl-CoA carboxylase deficiency ORPHA:6,100
3-methylglutaconic aciduria type 1 ORPHA:67046,101
3-methylglutaconic aciduria type 3 ORPHA:67047,102
3-methylglutaconic aciduria type 7 ORPHA:445038,101
3-methylglutaconic aciduria type 8 ORPHA:505208,101
3-methylglutaconic aciduria type 9 ORPHA:505216,101
"3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form ORPHA:79351",101
