Pathway,Count
5-Hydroxytryptamine degredation,5
5-arachidonylglycerol biosynthesis,6
5HT1 type receptor mediated signaling pathway,27
5HT2 type receptor mediated signaling pathway,30
5HT3 type receptor mediated signaling pathway,13
5HT4 type receptor mediated signaling pathway,16
Adenine and hypoxanthine salvage pathway,5
Adrenaline and noradrenaline biosynthesis,25
Alpha adrenergic receptor signaling pathway,23
Alzheimer disease-amyloid secretase pathway,55
Alzheimer disease-presenilin pathway,98
Androgen/estrogene/progesterone biosynthesis,8
Angiogenesis,141
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,35
Apoptosis signaling pathway,102
Arginine biosynthesis,6
Axon guidance mediated by Slit/Robo,18
Axon guidance mediated by netrin,30
Axon guidance mediated by semaphorins,17
B cell activation,53
Beta1 adrenergic receptor signaling pathway,17
Beta2 adrenergic receptor signaling pathway,9
Beta3 adrenergic receptor signaling pathway,11
Blood coagulation,39
Cadherin signaling pathway,147
Cell cycle,14
Cholesterol biosynthesis,22
Circadian clock system,8
Coenzyme A biosynthesis,9
Cortocotropin releasing factor receptor signaling pathway,30
Cytoskeletal regulation by Rho GTPase,69
DNA replication,18
De novo purine biosynthesis,23
De novo pyrimidine deoxyribonucleotide biosynthesis,9
De novo pyrimidine ribonucleotides biosythesis,8
EGF receptor signaling pathway,110
Endogenous cannabinoid signaling,23
Enkephalin release,17
FAS signaling pathway,31
Formyltetrahydroformate biosynthesis,5
Fructose galactose metabolism,9
GABA-B receptor II signaling,35
General transcription by RNA polymerase I,15
General transcription regulation,28
Glycolysis,32
Hedgehog signaling pathway,18
Heme biosynthesis,14
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,125
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,107
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,30
Histamine H1 receptor mediated signaling pathway,26
Histamine H2 receptor mediated signaling pathway,9
Huntington disease,113
Hypoxia response via HIF activation,14
Inflammation mediated by chemokine and cytokine signaling pathway,185
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,29
Insulin/IGF pathway-protein kinase B signaling cascade,22
Integrin signalling pathway,158
Interferon-gamma signaling pathway,28
Interleukin signaling pathway,90
Ionotropic glutamate receptor pathway,41
JAK/STAT signaling pathway,14
Mannose metabolism,6
Metabotropic glutamate receptor group I pathway,23
Metabotropic glutamate receptor group II pathway,29
Metabotropic glutamate receptor group III pathway,54
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,41
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,38
N-acetylglucosamine metabolism,6
Nicotine pharmacodynamics pathway,30
Nicotine degradation,8
Nicotinic acetylcholine receptor signaling pathway,62
Opioid proenkephalin pathway,16
Opioid proopiomelanocortin pathway,16
Oxidative stress response,22
Oxytocin receptor mediated signaling pathway,31
P53 pathway feedback loops 1,6
PDGF signaling pathway,116
PI3 kinase pathway,38
PNAT,53
Parkinson disease,80
Pentose phosphate pathway,8
Plasminogen activating cascade,15
Purine metabolism,33
Pyrimidine Metabolism,10
Pyruvate metabolism,29
Ras Pathway,70
Salvage pyrimidine ribonucleotides,8
Synaptic vesicle trafficking,20
T cell activation,61
TCA cycle,9
TGF-beta signaling pathway,87
Thyrotropin-releasing hormone receptor signaling pathway,41
Toll receptor signaling pathway,43
Transcription regulation by bZIP transcription factor,42
Ubiquitin proteasome pathway,43
VEGF signaling pathway,55
Vasopressin synthesis,10
Vitamin D metabolism and pathway,6
Wnt signaling pathway,254
mRNA splicing,5
p38 MAPK pathway,29
p53 pathway by glucose deprivation,21
p53 pathway feedback loops 2,42
