Pathway,Count
ASCVD,15
Abdominal hernia,19
Abdominal pain,31
Abnormal Papanicolaou smear of cervix and cervical HPV,31
Abnormal chest sounds,14
Abnormal coagulation profile,23
Abnormal electrocardiogram [ECG] [EKG],29
Abnormal findings examination of lungs,14
Abnormal findings on mammogram or breast exam,36
Abnormal function study of cardiovascular system,20
Abnormal glucose,27
Abnormal heart sounds,27
Abnormal involuntary movements,25
Abnormal mammogram,36
Abnormal movement,32
Abnormal results of function study of kidney,19
Abnormal results of function study of liver,22
Abnormal results of function study of pulmonary system,16
"Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)",16
Abnormal serum enzyme levels,33
Abnormality in fetal heart rate or rhythm,20
Abscess or ulceration of vulva,11
Absent or infrequent menstruation,18
Acidosis,21
Acne,17
Acquired absence of breast,21
Acquired deformities of finger,12
Acquired foot deformities,18
Acquired hemolytic anemias,15
Acquired spondylolisthesis,27
Acquired toe deformities,41
Actinic keratosis,36
Acute and chronic tonsillitis,17
Acute bronchitis and bronchiolitis,27
Acute bronchospasm,19
Acute cystitis,16
Acute dermatitis due to solar radiation,7
Acute laryngitis and tracheitis,16
Acute osteomyelitis,18
Acute pain,23
Acute periodontitis,14
Acute pharyngitis,40
Acute posthemorrhagic anemia,18
Acute pulmonary heart disease,23
Acute reaction to stress,14
Acute renal failure,22
Acute sinusitis,14
Acute upper respiratory infections of multiple or unspecified sites,25
Acute vascular insufficiency of intestine,20
"Acute, but ill-defined cerebrovascular disease",26
Adjustment reaction,14
Adrenal cortical steroids causing adverse effects in therapeutic use,14
Adrenal hypofunction,25
Adult failure to thrive,21
Alcohol-related disorders,15
Alcoholic liver damage,14
Alcoholism,20
Allergic conjunctivitis,26
"Allergies, other",21
Allergy/adverse effect of penicillin,18
Alteration of consciousness,23
Altered mental status,28
Althete's foot,20
Amblyopia,21
Amyotrophic Lateral Sclerosis,14
Anal and rectal conditions,30
Anal and rectal polyp,26
Anaphylactic shock NOS,16
Anatomical abnormatilies of kidney and ureters,14
Anemia in chronic kidney disease,19
Anemia in neoplastic disease,21
Anemia of chronic disease,12
Aneurysm of artery of lower extremity,18
Aneurysm of iliac artery,13
Aneurysm of other specified artery,23
Angiodysplasia of intestine (without mention of hemorrhage),15
Ankylosing spondylitis,18
Ankylosis of joint,18
Anomalies of pupillary function,16
"Anomalies of respiratory system, congenital",16
Anomalies of tooth position/malocclusion,13
Anorexia,24
"Antepartum hemorrhage, abruptio placentae, and placenta previa",21
Anterior pituitary disorders,18
Antineoplastic and immunosuppressive drugs causing adverse effects,14
Antisocial/borderline personality disorder,12
Anxiety disorder,25
"Anxiety, phobic and dissociative disorders",25
Aortic aneurysm,22
Aortic ectasia,23
Aphasia,20
Aphasia/speech disturbance,21
Aplastic anemia,21
Apnea,15
Appendiceal conditions,18
Appendicitis,27
Arrhythmia (cardiac) NOS,21
Arterial embolism and thrombosis,22
Arterial embolism and thrombosis of lower extremity artery,17
Arthralgia/ankylosis of temporomandibular joint,26
Arthropathy NOS,25
Arthropathy associated with neurological disorders,15
Arthropathy associated with other disorders classified elsewhere,20
Ascites (non malignant),30
Aseptic necrosis of bone,19
Asthma with exacerbation,20
Astigmatism,22
Atherosclerosis,24
Atherosclerosis of aorta,20
Atherosclerosis of native arteries of the extremities with ulceration or gangrene,25
Atherosclerosis of renal artery,13
Atherosclerosis of the extremities,25
Atopic/contact dermatitis due to other or unspecified,19
Atrial fibrillation,30
Atrial fibrillation and flutter,25
Atrial flutter,22
"Atrioventricular block, complete",21
Atrophic gastritis,10
Attention deficit hyperactivity disorder,18
Autoimmune disease NEC,10
Back pain,20
Bacteremia,32
Bacterial enteritis,22
Bacterial infection NOS,21
Balanoposthitis,10
Bariatric surgery,21
Barrett's esophagus,23
Basal cell carcinoma,50
Benign mammary dysplasias,26
Benign neoplasm of adrenal gland,13
Benign neoplasm of bone and articular cartilage,17
Benign neoplasm of brain and other parts of nervous system,24
"Benign neoplasm of brain, cranial nerves, meninges",20
Benign neoplasm of breast,23
Benign neoplasm of colon,37
Benign neoplasm of eye,22
"Benign neoplasm of eye, uveal",21
"Benign neoplasm of lip, oral cavity, and pharynx",17
Benign neoplasm of lymph nodes,14
Benign neoplasm of male genital organs,23
Benign neoplasm of other endocrine glands and related structures,26
Benign neoplasm of other female genital organs,21
Benign neoplasm of other parts of digestive system,26
Benign neoplasm of ovary,22
Benign neoplasm of parathyroid gland,19
Benign neoplasm of respiratory and intrathoracic organs,26
Benign neoplasm of skin,29
"Benign neoplasm of spinal cord, meninges",19
Benign neoplasm of thyroid glands,16
Benign neoplasm of unspecified sites,19
Benign neoplasm of uterus,25
Bipolar,15
Blindness and low vision,10
Blood in stool,23
Bone cancer,23
Bone marrow or stem cell transplant,13
Breast cancer,22
Breast cancer [female],21
"Breast conditions, congenital or relating to hormones",15
Bronchiectasis,20
Bronchitis,25
Bursitis,30
Bursitis disorders,15
Calculus of kidney,40
Calculus of lower urinary tract,8
Calculus of ureter,33
Cancer of bladder,25
Cancer of bone and connective tissue,13
Cancer of brain,21
Cancer of brain and nervous system,23
Cancer of bronchus; lung,24
Cancer of connective tissue,25
Cancer of eye,13
Cancer of hypopharynx,10
Cancer of intrathoracic organs,13
Cancer of kidney and renal pelvis,21
Cancer of larynx,19
"Cancer of larynx, pharynx, nasal cavities",27
Cancer of major salivary glands,13
Cancer of mouth,32
Cancer of of nasal cavities,18
Cancer of oropharynx,20
Cancer of other female genital organs,26
"Cancer of other lymphoid, histiocytic tissue",17
Cancer of other male genital organs,28
Cancer of prostate,36
Cancer of stomach,17
Cancer of the gums,12
Cancer of the mouth floor,19
Cancer of tongue,21
Cancer of urinary organs (incl. kidney and bladder),25
Cancer within the respiratory system,28
"Cancer, suspected or other",27
Candidiasis,28
Candidiasis of skin and nails,20
Carbuncle and furuncle,11
Carcinoma in situ of skin,27
Cardiac and circulatory congenital anomalies,23
Cardiac arrest,17
Cardiac arrest and ventricular fibrillation,13
"Cardiac complications, not elsewhere classified",14
Cardiac conduction disorders,26
Cardiac congenital anomalies,25
Cardiac defibrillator in situ,18
Cardiac dysrhythmias,30
Cardiac pacemaker in situ,18
Cardiac pacemaker/device in situ,26
Cardiac shunt/ heart septal defect,19
Cardiomyopathy,24
Carditis,23
Cataract,27
Celiac disease,90
Cellulitis and abscess of face/neck,18
Cellulitis and abscess of fingers/toes,14
"Cellulitis and abscess of foot, toe",21
"Cellulitis and abscess of leg, except foot",34
Cellulitis and abscess of oral soft tissues,14
Cellulitis and abscess of trunk,29
Cerebral aneurysm,21
Cerebral cysts,18
"Cerebral degeneration, unspecified",12
Cerebral ischemia,23
Cerebrovascular disease,27
Cervical cancer,19
Cervical cancer and dysplasia,25
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],24
Cervical radiculitis,16
Cervicalgia,31
Cervicitis and endocervicitis,20
Chemotherapy,31
Cholangitis,18
Cholecystitis without cholelithiasis,22
Cholelithiasis,20
Cholelithiasis and cholecystitis,22
Cholelithiasis with acute cholecystitis,12
Cholelithiasis with other cholecystitis,30
Cholesteatoma,16
Cholesterolosis of gallbladder,15
Chondrocalcinosis,19
Chorioretinal scars,17
Chromosomal anomalies and genetic disorders,14
"Chronic Kidney Disease, Stage III",23
