Pathway,Count
1-Alkyl-2-acetylglycerophosphocholine Esterase,24
"13,16,19-Docosatrienoic Acid",34
25-Hydroxyvitamin D 2,52
3-Hydroxy-1-Methylpropylmercapturic Acid,335
AIDS Dementia Complex,7
Abdominal Fat,33
Acceleration,27
Acetaminophen,8
Acne Vulgaris,28
Acquired Immunodeficiency Syndrome,26
Acute Coronary Syndrome,15
Acute Kidney Injury,9
Adenocarcinoma Of Esophagus,36
Adenocarcinoma Of Lung,148
Adiponectin,156
Adipose Tissue,174
Adrenal Cortex Hormones,35
"Affective Disorders, Psychotic",37
Age Of Onset,446
Age-Related Hearing Impairment 1,189
Aggression,71
Aging,39
Agranulocytosis,83
Airway Obstruction,11
Alanine Transaminase,183
Albumins,185
Albuminuria,85
Alcohol Drinking,151
Alcoholism,657
Alkaline Phosphatase,119
Allergens,9
Alopecia,118
Alopecia Areata,12
Alpha Rhythm,20
Alpha-Globulins,121
Altruism,60
Alzheimer Disease,1037
Amino Acids,70
Amyloid beta-Peptides,20
"Amyloidosis, Cerebral, With Spongiform Encephalopathy",54
Amyotrophic Lateral Sclerosis,318
Amyotrophic Lateral Sclerosis 1,146
Anatomy,109
Anemia,5
"Anemia, Sickle Cell",49
Anger,45
Angioedema,9
Angiography,36
Angiotensin-Converting Enzyme Inhibitors,93
Ankle Brachial Index,234
Anorexia Nervosa,35
Anthracyclines,10
Anthropometry,188
Anti-Bacterial Agents,6
"Anti-Inflammatory Agents, Non-Steroidal",16
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,41
Antibodies,44
"Antibodies, Antiphospholipid",27
Anticoagulants,38
Anticonvulsants,25
Antidepressive Agents,112
Antigens,11
Antihypertensive Agents,194
Antimetabolites,10
Antineoplastic Agents,280
Antioxidants,26
Antipsychotic Agents,70
Anxiety,49
Anxiety Disorders,46
Aorta,92
"Aortic Aneurysm, Abdominal",22
"Aortic Aneurysm, Thoracic",6
Apolipoprotein A-I,33
Apolipoproteins B,75
Apolipoproteins C,37
Apolipoproteins E,22
Arachidonic Acid,21
Arterial Pressure,291
Arteries,618
"Arthritis, Juvenile",137
"Arthritis, Psoriatic",32
"Arthritis, Rheumatoid",276
Asparaginase,13
Aspartate Aminotransferases,174
Asperger Syndrome,6
Aspirin,6
Assertiveness,32
Asthma,818
Astigmatism,71
Atherosclerosis,92
Atrial Fibrillation,108
Atrial Natriuretic Factor,37
Atrial Pressure,53
Attention,33
Attention Deficit Disorder With Hyperactivity,510
"Audiometry, Pure-Tone",42
Auditory Cortex,52
Autism Spectrum Disorder,11
Autistic Disorder,505
Autoantibodies,38
Autoimmune Diseases,96
Autosomal Dominant Compelling Helio Ophthalmic Outburst Syndrome,73
"Axial Length, Eye",31
Azoospermia,6
Bacteremia,16
Barrett Esophagus,38
Basophils,199
Behavior,48
Behcet Syndrome,167
Beta-Globulins,59
Bevacizumab,19
Bilirubin,190
Binge-Eating Disorder,48
Biomarkers,39
Bipolar Disorder,675
Birth Weight,30
Bladder Exstrophy,36
Bleomycin,6
Blinking,10
Blood Cells,101
Blood Circulation,36
Blood Coagulation Factors,150
Blood Flow Velocity,57
Blood Glucose,384
