Pathway,Count
Mixed PDB:200045 4Skin mix1 4Skin Fibro,371
Mixed PDB:200045 4Skin mix1 4Skin iPS,365
Mixed PDB:200045 4Skin mix2 4Skin Fibro,445
Mixed PDB:200045 4Skin mix2 4Skin iPS,445
Mixed PDB:200045 IMR90 mix1 IMR90 Fibro,223
Mixed PDB:200045 IMR90 mix1 IMR90 iPS,223
Mixed PDB:200045 gcpool scxfrac rep1,138
Mixed PDB:200045 gcpool scxfrac rep2,200
Mixed PDB:200045 gcpool sdsfrac rep1,224
Mixed PDB:200045 gcpool sdsfrac rep2,169
Mixed PDB:200045 mix-pool AC fluid and CSF,286
Bone U2-OS BTO:0001938 CYTOSKEL BioRep1 heavy,270
Bone U2-OS BTO:0001938 CYTOSKEL BioRep1 light,270
Bone U2-OS BTO:0001938 CYTOSKEL BioRep1 medium,270
Bone U2-OS BTO:0001938 CYTOSKEL BioRep2 heavy,87
Bone U2-OS BTO:0001938 CYTOSKEL BioRep2 light,87
Bone U2-OS BTO:0001938 CYTOSKEL BioRep2 medium,87
Bone U2-OS BTO:0001938 CYTOSKEL BioRep3 heavy,196
Bone U2-OS BTO:0001938 CYTOSKEL BioRep3 light,196
Bone U2-OS BTO:0001938 CYTOSKEL BioRep3 medium,196
Bone U2-OS BTO:0001938 CYTO BioRep1 heavy,261
Bone U2-OS BTO:0001938 CYTO BioRep1 light,261
Bone U2-OS BTO:0001938 CYTO BioRep1 medium,261
Bone U2-OS BTO:0001938 CYTO BioRep2 heavy,209
Bone U2-OS BTO:0001938 CYTO BioRep2 light,209
Bone U2-OS BTO:0001938 CYTO BioRep2 medium,206
Bone U2-OS BTO:0001938 CYTO BioRep3 heavy,169
Bone U2-OS BTO:0001938 CYTO BioRep3 light,169
Bone U2-OS BTO:0001938 CYTO BioRep3 medium,169
Bone U2-OS BTO:0001938 MEM BioRep1 heavy,194
Bone U2-OS BTO:0001938 MEM BioRep1 light,194
Bone U2-OS BTO:0001938 MEM BioRep1 medium,194
Bone U2-OS BTO:0001938 MEM BioRep2 heavy,328
Bone U2-OS BTO:0001938 MEM BioRep2 light,328
Bone U2-OS BTO:0001938 MEM BioRep2 medium,328
Bone U2-OS BTO:0001938 MEM BioRep3 heavy,376
Bone U2-OS BTO:0001938 MEM BioRep3 light,376
Bone U2-OS BTO:0001938 MEM BioRep3 medium,376
Bone U2-OS BTO:0001938 NUC BioRep2 heavy,292
Bone U2-OS BTO:0001938 NUC BioRep2 light,292
Bone U2-OS BTO:0001938 NUC BioRep2 medium,292
Bone U2-OS BTO:0001938 NUC BioRep3 heavy,164
Bone U2-OS BTO:0001938 NUC BioRep3 light,164
Bone U2-OS BTO:0001938 NUC BioRep3 medium,164
Bone U2-OS BTO:0001938 TCL BioRep1 heavy,122
Bone U2-OS BTO:0001938 TCL BioRep1 light,122
