Pathway,Count
15q13.3 microdeletion syndrome,5
2-Hydroxyglutaric aciduria,6
2-Methylacetoacetyl CoA thiolase deficiency,10
21-hydroxylase deficiency,27
22q11.2 deletion syndrome,74
3 methylglutaconic aciduria type I,6
3p deletion syndrome,13
46 XX testicular disorder of sex development,6
5-Nucleotidase syndrome,6
5q- syndrome,31
ACDC,19
ACTH deficiency,63
ACTH resistance,6
ACTH-independent macronodular adrenal hyperplasia,7
AIDS Dementia Complex,118
AL amyloidosis,44
ATR-X syndrome,7
Abdominal aortic aneurysm,195
Abetalipoproteinemia,9
Absent T lymphocytes,243
Acanthamoeba infection,23
Acanthocytosis,19
Acanthosis nigricans,24
Aceruloplasminemia,10
Acetyl CoA acetyltransferase 2 deficiency,9
Acetyl-carnitine deficiency,11
Achalasia,36
Achondroplasia,28
Achromatopsia 3,26
Acinic cell carcinoma,189
Acoustic neuroma,129
Acquired Von Willebrand syndrome,7
Acquired angioedema,5
Acquired hemophilia,26
Acral lentiginous melanoma,22
Acrodermatitis,6
Acrodysostosis,6
Acromegaly,108
Acromesomelic dysplasia,6
Acromesomelic dysplasia Hunter Thompson type,6
Acromicric dysplasia,7
Acroosteolysis with osteoporosis and changes in skull and mandible,5
Acrospiroma,8
Actinic cheilitis,33
Actinomycosis,5
Acute articular rheumatism,111
Acute biphenotypic leukemia,47
Acute disseminated encephalomyelitis,12
Acute idiopathic polyneuritis,78
Acute intermittent porphyria,7
Acute lymphoblastic leukemia,133
Acute megakaryoblastic leukemia,72
Acute monoblastic leukemia,288
Acute mountain sickness,41
Acute myeloblastic leukemia type 1,382
Acute myeloblastic leukemia type 2,335
Acute myeloblastic leukemia type 3,328
Acute myeloblastic leukemia type 4,204
Acute myeloblastic leukemia type 5,209
Acute myeloblastic leukemia type 6,186
Acute myeloblastic leukemia type 7,144
Acute myeloblastic leukemia with maturation,120
Acute myeloblastic leukemia without maturation,120
Acute myelocytic leukemia,118
Acute myeloid leukemia childhood,382
Acute myelomonocytic leukemia,188
Acute non lymphoblastic leukemia,128
Acute promyelocytic leukemia,145
Acute respiratory distress syndrome,221
Acyl-CoA oxidase deficiency,8
Adams Oliver syndrome,11
Addison's disease,96
Adenoameloblastoma,7
Adenomyosis,145
Adenosine deaminase deficiency,6
Adenosine monophosphate deaminase 1 deficiency,5
Adrenal adenoma familial,36
Adrenal cancer,134
Adrenal medulla cancer,67
Adrenocortical carcinoma,171
Adrenoleukodystrophy X-linked,30
Adrenomyeloneuropathy,41
Adult onset angioedema,6
Advanced sleep phase syndrome familial,12
Afibrinogenemia,14
Agammaglobulinemia X-linked type 2,7
Aganglionosis total intestinal,8
Aggressive NK cell leukemia,70
Agnosia,5
Agyria pachygyria polymicrogyria,12
Aicardi syndrome,36
Aicardi-Goutieres syndrome,28
Alagille syndrome,20
Albinism,155
Albright's hereditary osteodystrophy,22
Aldred syndrome,6
Alexander disease,136
Allergic angiitis,31
Allergic autoimmune thyroiditis,5
Allergic bronchopulmonary aspergillosis,22
Allergic encephalomyelitis,317
Alopecia immunodeficiency,8
Alpers syndrome,17
Alpha 1-antitrypsin deficiency,69
Alpha-Thalassemia,135
Alport syndrome,37
Alstrom syndrome,19
Alternating hemiplegia of childhood,13
Alveolar capillary dysplasia,7
Alveolar echinococcosis,15
Alveolar soft part sarcoma,30
Alveolitis extrinsic allergic,40
Alzheimer disease familial,159
Alzheimer's disease without neurofibrillary tangles,361
Amaurosis fugax,10
Amebiasis,26
Amelogenesis imperfecta,40
Aminoaciduria,16
Amyloid neuropathy,41
Amyloidosis AA,37
Amyloidosis Finnish type,8
Amyloidosis cerebral,157
Amyloidosis corneal,7
Amyloidosis primary cutaneous,7
Amyopathic dermatomyositis,12
Amyotonia congenita,358
Amyotrophic lateral sclerosis,108
Anal cancer,281
Anaplastic astrocytoma,126
Anaplastic ependymoma,114
Anaplastic ganglioglioma,5
Anaplastic large cell lymphoma,231
Anaplastic oligoastrocytoma,71
Anaplastic oligodendroglioma,180
Andersen Tawil syndrome,83
Androgen insensitivity syndrome,23
Anemia due to Adenosine triphosphatase deficiency,19
Anencephaly,33
Aneurysm of sinus of Valsalva,5
Aneurysmal bone cysts,14
Angelman syndrome,58
Angiofollicular lymph hyperplasia,31
Angioimmunoblastic lymphadenopathy with dysproteinemia,25
Angiomatous lymphoid hamartoma,31
Angiosarcoma of the breast,5
Angiosarcoma of the liver,7
Angiostrongyliasis,20
