Pathway,Count
DNA Damage Reversal Homo sapiens R-HSA-73942,6
Reversal of alkylation damage by DNA dioxygenases Homo sapiens R-HSA-73943,5
Sperm:Oocyte Membrane Binding Homo sapiens R-HSA-1300652,5
Sperm Motility And Taxes Homo sapiens R-HSA-1300642,9
Fertilization Homo sapiens R-HSA-1187000,26
Reproduction Homo sapiens R-HSA-1474165,26
Interaction With The Zona Pellucida Homo sapiens R-HSA-1300644,10
Vitamin C (ascorbate) metabolism Homo sapiens R-HSA-196836,8
Facilitative Na+-independent glucose transporters Homo sapiens R-HSA-428790,13
Miscellaneous transport and binding events Homo sapiens R-HSA-5223345,18
Bicarbonate transporters Homo sapiens R-HSA-425381,9
Erythrocytes take up carbon dioxide and release oxygen Homo sapiens R-HSA-1237044,12
O2/CO2 exchange in erythrocytes Homo sapiens R-HSA-1480926,12
Erythrocytes take up oxygen and release carbon dioxide Homo sapiens R-HSA-1247673,8
Reversible hydration of carbon dioxide Homo sapiens R-HSA-1475029,12
Passive transport by Aquaporins Homo sapiens R-HSA-432047,12
Neurotransmitter Clearance In The Synaptic Cleft Homo sapiens R-HSA-112311,8
LGI-ADAM interactions Homo sapiens R-HSA-5682910,14
Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562,27
Uptake and function of anthrax toxins Homo sapiens R-HSA-5210891,11
Toxicity of botulinum toxin type D (BoNT/D) Homo sapiens R-HSA-5250955,5
Toxicity of botulinum toxin type F (BoNT/F) Homo sapiens R-HSA-5250981,5
Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799,10
Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676,23
Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429,18
Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430,18
Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642,17
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500,24
Neurotransmitter Release Cycle Homo sapiens R-HSA-112310,51
"GABA synthesis, release, reuptake and degradation Homo sapiens R-HSA-888590",19
Creatine metabolism Homo sapiens R-HSA-71288,10
Na+/Cl- dependent neurotransmitter transporters Homo sapiens R-HSA-442660,19
Amine compound SLC transporters Homo sapiens R-HSA-425428,30
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds Homo sapiens R-HSA-425366",101
SLC-mediated transmembrane transport Homo sapiens R-HSA-425407,268
Transmembrane transport of small molecules Homo sapiens R-HSA-382551,594
Transport of inorganic cations/anions and amino acids/oligopeptides Homo sapiens R-HSA-425393,99
Amino acid transport across the plasma membrane Homo sapiens R-HSA-352230,31
Amino acid and oligopeptide SLC transporters Homo sapiens R-HSA-425374,49
Organic anion transporters Homo sapiens R-HSA-428643,8
Zinc influx into cells by the SLC39 gene family Homo sapiens R-HSA-442380,10
Zinc transporters Homo sapiens R-HSA-435354,17
Metal ion SLC transporters Homo sapiens R-HSA-425410,25
Zinc efflux and compartmentalization by the SLC30 family Homo sapiens R-HSA-435368,7
Organic anion transport Homo sapiens R-HSA-561048,5
Organic cation/anion/zwitterion transport Homo sapiens R-HSA-549132,14
Organic cation transport Homo sapiens R-HSA-549127,9
Abacavir transmembrane transport Homo sapiens R-HSA-2161517,5
Abacavir transport and metabolism Homo sapiens R-HSA-2161522,10
Abacavir metabolism Homo sapiens R-HSA-2161541,5
Cation-coupled Chloride cotransporters Homo sapiens R-HSA-426117,7
Na+-dependent glucose transporters Homo sapiens R-HSA-428808,5
Inositol transporters Homo sapiens R-HSA-429593,7
Sodium-coupled phosphate cotransporters Homo sapiens R-HSA-427652,5
Amino acid synthesis and interconversion (transamination) Homo sapiens R-HSA-70614,25
Transport of organic anions Homo sapiens R-HSA-879518,11
"Transport of vitamins, nucleosides, and related molecules Homo sapiens R-HSA-425397",38
Transport of nucleotide sugars Homo sapiens R-HSA-727802,9
Transport of fatty acids Homo sapiens R-HSA-804914,8
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane Homo sapiens R-HSA-83936,7
SLC transporter disorders Homo sapiens R-HSA-5619102,7
Vasopressin-like receptors Homo sapiens R-HSA-388479,6
Disorders of transmembrane transporters Homo sapiens R-HSA-5619115,15
Surfactant metabolism Homo sapiens R-HSA-5683826,29
Diseases associated with surfactant metabolism Homo sapiens R-HSA-5687613,10
Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5) Homo sapiens R-HSA-5688849,8
Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4) Homo sapiens R-HSA-5688890,8
Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3) Homo sapiens R-HSA-5683678,5
ABC transporter disorders Homo sapiens R-HSA-5619084,8
ABC transporters in lipid homeostasis Homo sapiens R-HSA-1369062,17
ABC-family proteins mediated transport Homo sapiens R-HSA-382556,45
Cytosolic iron-sulfur cluster assembly Homo sapiens R-HSA-2564830,13
POLB-Dependent Long Patch Base Excision Repair Homo sapiens R-HSA-110362,7
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway Homo sapiens R-HSA-5649702,7
Cleavage of the damaged pyrimidine Homo sapiens R-HSA-110329,8
Recognition and association of DNA glycosylase with site containing an affected pyrimidine Homo sapiens R-HSA-110328,8
Depyrimidination Homo sapiens R-HSA-73928,8
"Base-Excision Repair, AP Site Formation Homo sapiens R-HSA-73929",10
Displacement of DNA glycosylase by APEX1 Homo sapiens R-HSA-110357,9
Catabolism of glucuronate to xylulose-5-phosphate Homo sapiens R-HSA-5661270,5
Fructose metabolism Homo sapiens R-HSA-5652084,6
Ethanol oxidation Homo sapiens R-HSA-71384,12
Signaling by Retinoic Acid Homo sapiens R-HSA-5362517,42
RA biosynthesis pathway Homo sapiens R-HSA-5365859,22
Vitamins Homo sapiens R-HSA-211916,6
Vitamin D (calciferol) metabolism Homo sapiens R-HSA-196791,7
Opsins Homo sapiens R-HSA-419771,9
The retinoid cycle in cones (daylight vision) Homo sapiens R-HSA-2187335,6
Retinoid cycle disease events Homo sapiens R-HSA-2453864,9
Diseases associated with visual transduction Homo sapiens R-HSA-2474795,9
The canonical retinoid cycle in rods (twilight vision) Homo sapiens R-HSA-2453902,23
Visual phototransduction Homo sapiens R-HSA-2187338,97
Retinoid metabolism and transport Homo sapiens R-HSA-975634,42
Metabolism of fat-soluble vitamins Homo sapiens R-HSA-6806667,51
HS-GAG degradation Homo sapiens R-HSA-2024096,21
Defective EXT2 causes exostoses 2 Homo sapiens R-HSA-3656237,12
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS Homo sapiens R-HSA-3656253",12
Diseases associated with glycosaminoglycan metabolism Homo sapiens R-HSA-3560782,26
Defective B3GALT6 causes EDSP2 and SEMDJL1 Homo sapiens R-HSA-4420332,19
"Defective B4GALT7 causes EDS, progeroid type Homo sapiens R-HSA-3560783",19
Defective B3GAT3 causes JDSSDHD Homo sapiens R-HSA-3560801,19
A tetrasaccharide linker sequence is required for GAG synthesis Homo sapiens R-HSA-1971475,26
Heparan sulfate/heparin (HS-GAG) metabolism Homo sapiens R-HSA-1638091,54
HS-GAG biosynthesis Homo sapiens R-HSA-2022928,31
Metabolism of carbohydrates Homo sapiens R-HSA-71387,282
Glycosaminoglycan metabolism Homo sapiens R-HSA-1630316,121
Chondroitin sulfate/dermatan sulfate metabolism Homo sapiens R-HSA-1793185,50
Chondroitin sulfate biosynthesis Homo sapiens R-HSA-2022870,20
Dermatan sulfate biosynthesis Homo sapiens R-HSA-2022923,11
Defective CHST3 causes SEDCJD Homo sapiens R-HSA-3595172,7
Defective CHSY1 causes TPBS Homo sapiens R-HSA-3595177,7
"Defective CHST14 causes EDS, musculocontractural type Homo sapiens R-HSA-3595174",7
CS/DS degradation Homo sapiens R-HSA-2024101,14
Keratan sulfate biosynthesis Homo sapiens R-HSA-2022854,27
Keratan sulfate/keratin metabolism Homo sapiens R-HSA-1638074,32
Keratan sulfate degradation Homo sapiens R-HSA-2022857,12
Defective CHST6 causes MCDC1 Homo sapiens R-HSA-3656225,7
Defective ST3GAL3 causes MCT12 and EIEE15 Homo sapiens R-HSA-3656243,7
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d) Homo sapiens R-HSA-3656244,7
Diseases of glycosylation Homo sapiens R-HSA-3781865,88
Diseases associated with O-glycosylation of proteins Homo sapiens R-HSA-3906995,62
Defective B3GALTL causes Peters-plus syndrome (PpS) Homo sapiens R-HSA-5083635,37
O-glycosylation of TSR domain-containing proteins Homo sapiens R-HSA-5173214,38
O-linked glycosylation Homo sapiens R-HSA-5173105,110
O-linked glycosylation of mucins Homo sapiens R-HSA-913709,66
Termination of O-glycan biosynthesis Homo sapiens R-HSA-977068,26
