Pathway,Count
14d AAA,914
14d AAF,2307
14d AA,102
14d ACA,60
14d ACZ,125
14d ADP,27
14d AJM,141
14d AMB,51
14d AMT,365
14d AM,692
14d ANIT,579
14d APL,450
14d ASA,112
14d AZP,467
14d BBZ,175
14d BBr,631
14d BDZ,109
14d BEA,93
14d BZD,305
14d CAF,221
14d CBP,205
14d CCL4,713
14d CFB,441
14d CHL,67
14d CHplusDS-Na,50
14d CIM,39
14d CLM,233
14d CLT,133
14d CMA,295
14d CMP,261
14d COL,61
14d CPA,264
14d CPM,67
14d CPP,255
14d CPX,116
14d CSA,488
14d CSP,508
14d DAPM,2183
14d DDAVP,71
14d DEN,2698
14d DFNa,64
14d DIL,155
14d DIS,74
14d DNP,84
14d DNZ,158
14d DOX,341
14d DSF,371
14d DTL,284
14d DZP,135
14d EBU,2054
14d EE,1188
14d EME,141
14d ENA,76
14d ETH,1729
14d ETN,95
14d ETP,19
14d ET,1582
14d FAM,64
14d FFB,1760
14d FP,44
14d FT,951
14d FUR,149
14d GBC,18
14d GFZ,467
14d GF,59
14d GMC,243
14d HCB,733
14d HPL,126
14d HYZ,191
14d IBU,717
14d IMI,176
14d IM,666
14d INAH,79
14d IPA,271
14d KC,138
14d LBT,108
14d LNX,671
14d LS,876
14d MCT,2165
14d MDP,184
14d MEF,246
14d MEX,95
14d MFM,34
14d MLX,112
14d MP,3299
14d MTS,196
14d MTZ,587
14d MXS,75
14d NFT,40
14d NFZ,169
14d NIC,94
14d NIM,104
14d NPAA,488
14d NPX,1272
14d OPZ,690
14d PAN,685
14d PAP,133
14d PB,251
14d PCT,174
14d PEN,196
14d PHE,87
14d PH,58
14d PML,27
14d PMZ,352
14d PPL,60
14d PTU,591
14d PhB,100
14d QND,122
14d RAN,20
14d RGZ,98
14d RIF,122
14d ROT,49
14d SLP,17
14d SST,213
14d SS,237
14d SUL,251
14d TAA,2569
14d TAC,532
14d TAN,107
14d TBF,522
14d TCP,427
14d TC,46
14d TEO,171
14d TIO,49
14d TLB,41
14d TMD,362
14d TMX,345
14d TRI,34
14d TRZ,71
14d TZM,73
14d VA,720
14d VPA,86
14d WY,1993
15d acetaminophen,187
15d bucetin,77
15d butylated hydroxyanisole,228
15d captopril,56
15d carbamazepine,127
15d chlormezanone,244
15d chlorpromazine,58
15d fluoxetine hydrochloride,158
15d nifedipine,193
"24hr 2,4-dinitrophenol",148
24hr 2-nitrofluorene,3430
24hr 3-methylcholanthrene,225
24hr LPS,713
24hr N-methyl-N-nitrosourea,970
24hr N-nitrosomorpholine,5104
24hr TNF alpha,32
24hr WY-14643,1019
24hr acarbose,51
24hr acetamidofluorene,2918
24hr acetaminophen,878
24hr acetazolamide,380
24hr adapin,522
24hr aflatoxin B1,3425
24hr ajmaline,90
24hr allopurinol,141
24hr allyl alcohol,116
24hr amiodarone,286
24hr amitriptyline,154
24hr amphotericin B,83
24hr aspirin,1098
24hr azathioprine,132
24hr bendazac,1170
24hr benzbromarone,1006
24hr benziodarone,348
24hr bortezomib,4452
24hr bromobenzene,2297
24hr bromoethylamine,316
24hr bucetin,1158
24hr buthionine sulfoximine,122
24hr butylated hydroxyanisole,1963
24hr caffeine,353
24hr captopril,21
24hr carbamazepine,701
24hr carbon tetrachloride,229
24hr carboplatin,101
24hr cephalothin,134
24hr chloramphenicol,400
24hr chlormadinone,170
24hr chlormezanone,1031
24hr chlorpheniramine,182
24hr chlorpromazine,1133
24hr chlorpropamide,158
24hr cimetidine,51
24hr ciprofloxacin,111
24hr cisplatin,104
24hr clofibrate,675
24hr clomipramine,126
24hr colchicine,1757
24hr coumarin,958
24hr cycloheximide,3370
24hr cyclophosphamide,294
24hr cyclosporine A,434
24hr danazol,1372
24hr dantrolene,414
24hr desmopressin acetate,47
24hr dexamethasone,1301
24hr diazepam,81
24hr diclofenac,2329
24hr diethyl maleate,264
24hr diltiazem,330
24hr disopyramide,169
24hr disulfiram,775
24hr doxorubicin,282
24hr enalapril,79
24hr erythromycin ethylsuccinate,66
24hr ethambutol,497
24hr ethanol,61
24hr ethinylestradiol,711
24hr ethionamide,3246
24hr ethionine,1193
24hr etoposide,151
24hr famotidine,92
24hr fenofibrate,1246
24hr fluoxetine hydrochloride,57
24hr fluphenazine,605
24hr flutamide,526
24hr furosemide,347
24hr galactosamine,4972
24hr gefitinib,984
24hr gemfibrozil,451
24hr gentamicin,104
24hr glibenclamide,42
24hr griseofulvin,133
24hr haloperidol,309
24hr hexachlorobenzene,53
24hr hydroxyzine,90
24hr ibuprofen,526
"24hr imatinib, methanesulfonate salt",316
24hr imipramine,288
24hr indomethacin,2886
24hr iproniazid,101
24hr isoniazid,2052
24hr ketoconazole,230
24hr labetalol,55
24hr lomustine,30
24hr lornoxicam,423
24hr mefenamic acid,228
24hr meloxicam,971
24hr metformin,150
24hr methapyrilene,688
24hr methimazole,642
24hr methyldopa,414
24hr methylene dianiline,2479
24hr methyltestosterone,477
24hr mexiletine,78
24hr monocrotaline,171
24hr moxisylyte,212
24hr naphthyl isothiocyanate,2239
24hr naproxen,1770
24hr nicotinic acid,35
24hr nifedipine,1152
24hr nimesulide,1969
24hr nitrofurantoin,346
24hr nitrofurazone,1991
24hr nitrosodiethylamine,2775
24hr omeprazole,552
24hr papaverine,91
24hr pemoline,266
24hr penicillamine,45
24hr perhexiline,136
24hr phalloidin,88
24hr phenacetin,2387
24hr phenobarbital,1199
24hr phenylanthranilic acid,1443
24hr phenylbutazone,257
24hr phenytoin,648
24hr phorone,3189
24hr promethazine,356
24hr propranolol,63
24hr propylthiouracil,287
24hr puromycin aminonucleoside,395
24hr quinidine,215
24hr ranitidine,125
24hr rifampicin,242
24hr rosiglitazone maleate,301
24hr rotenone,136
24hr simvastatin,501
24hr sulfasalazine,266
24hr sulindac,2419
24hr sulpiride,164
24hr tacrine,293
24hr tamoxifen,134
24hr tannic acid,135
24hr terbinafine,399
24hr tetracycline,172
24hr theophylline,208
24hr thioacetamide,2276
