Pathway,Count
Gata1 (mouse),1863
Tcfcp2l1 (mouse),17
Stat3 (mouse),1762
TP63 (human),1443
NFE2L2 (human),84
MZF1 (human),1389
MYC (mouse),1699
POU2F1 (human),1399
RUNX1 (mouse),53
IRF1 (human),39
YY1 (human),6042
Mycn (mouse),20
SNAI2 (human),1428
FOS (human),1394
SREBF1 (mouse),1735
Myb (mouse),1902
POU1F1 (human),1408
HIF1A (human),1586
RORB (human),1035
INSM1 (human),35
ESR2 (mouse),51
WT1 (human),2689
EIF4EBP1 (human),212
NFYB (mouse),1748
FOXO3 (human),132
Nr2e3 (mouse),139
EGR1 (mouse),1617
TEAD4 (human),1354
Pax5 (mouse),10
NR1H2 (human),479
RREB1 (human),35
NR1I2 (human),1387
GABPA (mouse),12
CBFB (human),774
CTCF (human),35
ETV4 (mouse),1773
REST (human),35
TEAD2 (human),1486
BCL6 (human),1399
RUNX2 (mouse),1750
RXRA (human),1422
SMAD3 (human),43
MYC (human),1302
TEAD1 (human),1547
HNF1A (human),1855
NKX3-1 (human),264
PPARA (human),271
GABPA (human),108
RELA (mouse),1656
MYOG (human),1404
CACYBP (human),1350
USF2 (human),3792
SRF (human),3420
Pax6 (human),169
USF1 (mouse),1219
JUN (mouse),1699
NHLH1 (human),35
SMAD4 (mouse),1580
RARA (human),1379
THRA (human),271
FOXA3 (human),207
Klf4 (mouse),163
NFATC3 (human),116
VDR (human),88
ELF3 (human),1488
TBP (human),2486
ATF1 (human),264
SP3 (human),1332
JDP2 (human),1488
NR2C2 (human),66
GATA1 (human),2679
ETS1 (mouse),1681
Pdx1 (mouse),907
FOXA2 (human),83
FOS (mouse),1708
MIB2 (human),1490
NR2F1 (human),1073
TLX1::NFIC (human),39
Sox5 (mouse),728
Tal1::Gata1 (mouse),18
CREB1 (mouse),849
HMGA1 (human),1379
CRTC3 (human),1008
MYCN (human),42
NR2F1 (mouse),1021
NR5A1 (human),1389
NR5A2 (human),3815
TFAP2A (human),3613
RORA 2 (human),42
NFAT2 (human),1376
RXR::RAR DR5 (human),35
MIR210 (human),70
POU2F2 (human),2792
SREBF2 (human),1361
NRF1 (human),1356
PPARG (human),3580
SP1 (mouse),2360
IRF2 (mouse),1706
IKZF1 (mouse),1674
ETV4 (human),1403
IRF9 (human),57
PDX1 (human),55
SP4 (human),42
SNAI1 (human),1428
TFAP2D (human),1324
SMAD3 (mouse),72
HLF (human),54
KLF5 (human),1445
FOXA2 (mouse),1441
SPIB (human),760
STAT1 (mouse),68
FOXF1 (mouse),206
NR5A2 (mouse),1748
ZNF148 (human),1591
ELK1 (human),1511
CREM (human),662
XBP1 (human),605
RXRA::VDR (human),35
Lhx3 (mouse),16
KLF4 (human),1485
