Pathway,Count
B Cell Spleen CL:0000236,79
T Cell Spleen CL:0000084,83
Myeloid Cell Spleen CL:0000763,65
Basal Cell Mammary CL:0000646,93
Endothelial Cell Mammary CL:0000115,84
Luminal Epithelial Cell Mammary Gland Mammary CL:0002326,88
Stromal Cell Mammary CL:0000499,90
T Cell Thymus CL:0000084,91
Mesenchymal Stem Cell Thymus CL:0000134,73
Endothelial Cell Pancreas CL:0000115,81
Leukocyte Pancreas CL:0000738,69
Pancreatic A Cell Pancreas CL:0000171,83
Pancreatic D Cell Pancreas CL:0000173,87
Pancreatic PP Cell Pancreas CL:0002275,88
Pancreatic Acinar Cell Pancreas CL:0002064,75
Pancreatic Ductal Cell Pancreas CL:0002079,85
Pancreatic Stellate Cell Pancreas CL:0002410,90
Type B Pancreatic Cell Pancreas CL:0000169,92
Cardiac Muscle Cell Heart CL:0000746,88
Endocardial Cell Heart CL:0002350,87
Endothelial Cell Heart CL:0000115,81
Erythrocyte Heart CL:0000232,55
Fibroblast Heart CL:0000057,93
Leukocyte Heart CL:0000738,77
Smooth Muscle Cell Heart CL:0000192,82
B Cell Lung CL:0000236,76
Clara Cell Lung CL:0000158,74
T Cell Lung CL:0000084,80
Ciliated Cell Lung CL:0000064,52
Dendritic Cell Lung CL:0000451,66
Endothelial Cell Lung CL:0000115,87
Epithelial Cell Lung CL:0000066,52
Leukocyte Lung CL:0000738,68
Lung Neuroendocrine Cell Lung CL:1000223,81
Macrophage Lung CL:0000235,70
Mesothelial Cell Lung CL:0000077,57
Monocyte Lung CL:0000576,66
Natural Killer Cell Lung CL:0000623,69
Stromal Cell Lung CL:0000499,92
Type I Pneumocyte Lung CL:0002062,68
Type II Pneumocyte Lung CL:0002063,84
B Cell Fat CL:0000236,78
T Cell Fat CL:0000084,88
Endothelial Cell Fat CL:0000115,84
Epithelial Cell Fat CL:0000066,80
Granulocyte Fat CL:0000094,72
Mesenchymal Stem Cell Of Adipose Fat CL:0002570,90
Myeloid Cell Fat CL:0000763,73
Natural Killer Cell Fat CL:0000623,69
Neutrophil Fat CL:0000775,65
Smooth Muscle Cell Fat CL:0000192,86
Endothelial Cell Trachea CL:0000115,83
Epithelial Cell Trachea CL:0000066,90
Leukocyte Trachea CL:0000738,85
Stromal Cell Trachea CL:0000499,93
Basal Cell Of Epidermis Tongue CL:0002187,88
Keratinocyte Tongue CL:0000312,84
Basal Cell Of Epidermis Skin CL:0002187,88
Epidermal Cell Skin CL:0000362,74
Keratinocyte Stem Cell Skin CL:0002337,90
Stem Cell Of Epidermis Skin CL:1000428,80
B Cell Liver CL:0000236,74
Kupffer Cell Liver CL:0000091,67
Endothelial Cell Hepatic Sinusoid Liver CL:1000398,91
Hepatocyte Liver CL:0000182,80
Natural Killer Cell Liver CL:0000623,87
B Cell Muscle CL:0000236,76
T Cell Muscle CL:0000084,87
Endothelial Cell Muscle CL:0000115,88
Macrophage Muscle CL:0000235,74
Mesenchymal Stem Cell Muscle CL:0000134,91
Skeletal Muscle Satellite Cell Muscle CL:0000594,94
Basal Cell Of Urothelium Bladder CL:1000486,88
Bladder Cell Bladder CL:1001319,85
Mesenchymal Cell Bladder CL:0008019,92
Brush Cell Of Epithelium Colon CL:0002203,77
Enterocyte Of Epithelium Colon CL:0002071,74
Enteroendocrine Cell Colon CL:0000164,85
Epithelial Cell Large Intestine Colon CL:0002253,88
Large Intestine Goblet Cell Colon CL:1000320,85
B Cell Marrow CL:0000236,86
Fraction A Pre Pro B Cell Marrow CL:0002045,78
T Cell Marrow CL:0000084,78
Granulocyte Marrow CL:0000094,72
Hematopoietic Stem Cell Marrow CL:0000037,79
Monocyte Marrow CL:0000576,74
Natural Killer Cell Marrow CL:0000623,68
Neutrophil Marrow CL:0000775,76
Macrophage Brain Microglia CL:0000235,67
Microglial Cell Brain Microglia CL:0000129,89
Endothelial Cell Kidney CL:0000115,87
Fenestrated Cell Kidney CL:0000666,89
Fibroblast Kidney CL:0000057,85
Kidney Collecting Duct Cell Kidney CL:1001225,91
Kidney Tubule Cell Kidney CL:1000507,81
Leukocyte Kidney CL:0000738,69
Bergmann Glial Cell Brain Non-Microglia CL:0000644,74
Astrocyte Cerebral Cortex Brain Non-Microglia CL:0002605,94
Brain Pericyte Brain Non-Microglia CL:2000043,91
Endothelial Cell Brain Non-Microglia CL:0000115,84
Neuron Brain Non-Microglia CL:0000540,89
Neuronal Stem Cell Brain Non-Microglia CL:0000047,82
Oligodendrocyte Brain Non-Microglia CL:0000128,89
Oligodendrocyte Precursor Brain Non-Microglia CL:0002453,79
Smooth Muscle Cell Brain Non-Microglia CL:0000192,72
Unknown Brain Non-Microglia,76
