Pathway,Count
Bladder-bladder Urothelial Cell,100
Bladder-capillary Endothelial Cell,100
Bladder-endothelial Cell Of Lymphatic Vessel,99
Bladder-fibroblast,100
Bladder-macrophage,100
Bladder-mast Cell,100
Bladder-myofibroblast Cell,100
Bladder-nk Cell,100
Bladder-pericyte Cell,100
Bladder-plasma Cell,100
Bladder-plasmacytoid Dendritic Cell,100
Bladder-smooth Muscle Cell,100
Bladder-t Cell,100
Bladder-vein Endothelial Cell,100
Blood-cd24 Neutrophil,89
"Blood-cd4-positive, Alpha-Beta T Cell",100
"Blood-cd8-positive, Alpha-Beta T Cell",100
Blood-erythrocyte,100
Blood-hematopoietic Stem Cell,100
Blood-memory B Cell,100
Blood-monocyte,100
Blood-myeloid Progenitor,100
Blood-naive B Cell,100
Blood-nampt Neutrophil,97
Blood-nk Cell,100
Blood-plasmablast,100
Lung-adventitial Cell,100
Lung-alveolar Fibroblast,100
Lung-b Cell,100
Lung-basal Cell,100
Lung-basophil,100
Lung-bronchial Smooth Muscle Cell,100
Lung-capillary Aerocyte,100
Lung-capillary Endothelial Cell,100
"Lung-cd4-positive, Alpha-Beta T Cell",100
"Lung-cd8-positive, Alpha-Beta T Cell",100
Lung-classical Monocyte,100
Lung-club Cell,100
Lung-dendritic Cell,100
Lung-endothelial Cell Of Artery,100
Lung-endothelial Cell Of Lymphatic Vessel,100
Lung-lung Ciliated Cell,100
Lung-lung Microvascular Endothelial Cell,100
Lung-macrophage,100
Lung-mesothelial Cell,100
Lung-myofibroblast Cell,101
Lung-nk Cell,99
Lung-non-classical Monocyte,100
Lung-pericyte Cell,100
Lung-plasma Cell,100
Lung-plasmacytoid Dendritic Cell,100
Lung-respiratory Goblet Cell,100
Lung-serous Cell Of Epithelium Of Bronchus,100
Lung-type I Pneumocyte,100
Lung-type Ii Pneumocyte,100
Lung-vascular Associated Smooth Muscle Cell,99
Lung-vein Endothelial Cell,100
Muscle-capillary Endothelial Cell,100
"Muscle-cd4-positive, Alpha-Beta T Cell",100
"Muscle-cd8-positive, Alpha-Beta T Cell",100
Muscle-endothelial Cell Of Artery,100
