Pathway,Count
mmu-miR-467a,1739
hsa-miR-4749-5p,1198
hsa-miR-4467,803
hsa-miR-154,1842
mmu-miR-875-5p,1131
hsa-miR-4278,1632
mmu-miR-126-3p,124
hsa-miR-525-3p,464
hsa-miR-4520b-3p,1938
hsa-miR-487b,262
mmu-miR-210,484
hsa-miR-3180-3p,1475
hsa-miR-423-3p,551
mmu-miR-3061-3p,1740
hsa-miR-4785,477
hsa-miR-3177-3p,713
mmu-miR-5108,1618
mmu-miR-3086-5p,1283
hsa-miR-4745-3p,1027
hsa-miR-521,423
hsa-miR-671-3p,360
hsa-miR-1908,1849
mmu-miR-500,1417
hsa-miR-496,1812
mmu-miR-5103,438
hsa-miR-648,1888
mmu-let-7c,1963
hsa-miR-1234,1417
mmu-miR-142-3p,1360
mmu-miR-5115,333
hsa-miR-3677-3p,599
mmu-miR-1899,414
hsa-miR-1225-5p,1691
hsa-miR-3200-3p,1588
mmu-miR-5121,1974
mmu-let-7b,1963
hsa-miR-4681,624
mmu-miR-3102-5p.2,1838
mmu-miR-10b,1900
hsa-miR-4423-3p,1900
mmu-miR-324-5p,1744
mmu-miR-297a,1955
mmu-miR-290-3p,1739
hsa-miR-325,1334
hsa-miR-770-5p,1893
hsa-miR-518c,469
mmu-miR-667,1770
mmu-miR-340-3p,556
hsa-miR-190b,1779
hsa-miR-4258,1212
hsa-miR-4759,1756
hsa-miR-553,618
hsa-miR-4788,334
hsa-miR-4787-3p,365
mmu-miR-1900,445
hsa-miR-4649-5p,996
mmu-miR-453,1065
hsa-miR-1268,1055
hsa-miR-4640-3p,1809
mmu-miR-1306-3p,323
mmu-miR-1193-5p,1352
hsa-miR-3146,1682
hsa-miR-1181,108
hsa-miR-151-5p,770
mmu-miR-376c,1975
mmu-miR-3101,1311
hsa-miR-3135,1743
hsa-miR-3605-3p,717
mmu-miR-92a,1753
mmu-miR-3962,1015
hsa-miR-3171,1754
mmu-miR-5046,1659
hsa-miR-3939,128
hsa-miR-1203,702
hsa-miR-4783-3p,628
mmu-miR-669f-5p,1434
hsa-miR-4732-5p,1679
hsa-miR-4750,309
mmu-miR-193b,1737
hsa-miR-409-5p,1354
mmu-miR-32,1753
mmu-miR-3103,1648
