Pathway,Count
SMARCC2,114
HSF1,109
EGR1,35
ZFPM2,15
FOXA1,10
CDKN2AIP,14
CDX2,17
NELFE,6
SMARCC1,114
WRNIP1,26
POLR3A,27
CCNT2,13
HOXD13,8
CREM,39
RARA,175
KLF7,2
ZNF143,5
RARG,40
BHLHE40,26
NFE2L2,61
NR0B1,33
CLOCK,28
BCLAF1,54
ZFP42,20
ETS1,102
PHC1,25
HEY1,12
BDP1,7
MYC,957
MYB,84
SETDB1,136
NFE2,77
BRCA1,418
WT1,25
ETS2,34
TCOF1,44
SUZ12,66
SP1,263
SP2,7
SP3,38
SP4,6
KLF4,31
CREB1,134
ESRRA,51
NR2C2,34
SOX2,70
GATA4,42
GATA2,27
GATA3,26
GATA1,69
PCGF2,45
ESR2,365
RFX5,17
CCND1,108
MAX,96
ZNF652,3
MAZ,9
RCOR1,43
TCF7L2,37
AHR,42
NR1I2,33
FOXA2,15
KLF9,5
ELK4,14
TCF12,36
PLAGL2,7
KRT7,19
MTA3,40
RNF2,175
KDM5A,25
CTCF,60
FOXP2,5
DMRT1,2
ZNF217,13
MTF2,20
HMGN3,7
GLIS2,9
CRX,14
HIF1A,126
GTF3C2,16
ELK1,49
SMARCB1,116
THAP11,13
XRCC4,33
ZZZ3,20
CHD1,65
MYCN,26
MITF,42
CHD2,5
BHLHA15,1
CHD7,26
RUNX3,41
CBX3,114
BACH1,31
ZBTB7B,18
JUN,248
PPARGC1A,64
MEIS1,36
SOX17,4
GTF2B,86
RUNX1,106
NANOG,160
DLX4,13
ZBTB33,17
KDM5B,63
SIRT3,95
TCF4,57
SIRT6,15
TCF3,248
TFEB,4
EZH2,115
ZNF274,8
ATF1,32
HOXB4,6
LMX1B,8
PAX5,16
CUX1,33
PPARD,40
SPI1,66
POLR2A,239
REST,37
PAX3,41
BRF2,60
BCL3,46
BRF1,22
ZEB1,20
IRF3,75
EPAS1,106
PRDM14,4
TP53,628
IRF6,8
TAF1,171
IRF4,29
TBP,160
HNF4G,16
IRF8,32
HNF4A,71
SREBF2,62
DNAJC2,3
MEF2C,50
UPF1,98
HTT,293
PRDM1,19
PHF8,20
SIX5,6
PDX1,36
AIRE,68
GLI1,41
HDAC2,387
YY1,120
YY2,4
SMAD4,245
HDAC8,77
SMAD1,192
SMAD2,384
SMAD3,375
RCOR3,16
TBX3,7
POLE,18
VDR,109
FOXM1,31
TAL1,65
TBX5,5
BATF,12
IKZF1,42
NCOR1,155
STAT6,83
STAT4,28
STAT3,246
STAT2,50
STAT1,196
CIITA,41
SMC3,137
NR2F2,22
USF2,25
CBFB,34
KDM6A,26
RBM15,17
CDKN1B,93
FOXP3,350
NFKB1,254
TAF7,50
GABPB1,14
LYL1,10
ZNF148,16
ESRRB,84
THAP1,18
TET1,9
JARID2,26
ZNF263,13
RXRA,139
PML,178
USF1,43
SALL1,16
KAT2A,107
BCOR,25
IRF1,45
SRF,93
EP300,473
RCOR2,6
TP63,120
YAP1,115
NEUROD1,30
TBL1XR1,36
NCOA1,89
LMO2,43
ESR1,871
LMO4,30
MAFK,19
STAT5B,81
STAT5A,96
SREBF1,69
NFATC1,50
NRF1,10
ZFX,1
SPATA20,2
JUNB,48
BCL11A,19
JUND,44
BCL11B,22
CTNNB1,398
NFYB,25
NFYA,42
ERG,41
EED,91
MYBL1,8
TRIM28,204
MYBL2,48
SMARCA4,219
SOX4,7
TEAD4,7
CEBPB,142
CEBPA,113
GFI1B,80
HCFC1,87
CEBPD,29
TFAP2A,46
TFAP2C,17
UBTF,61
MEF2A,37
HNF1B,7
KLF5,35
HNF1A,52
KLF2,7
KLF1,17
NOD2,45
CNOT3,28
CEBPZ,22
NACC1,31
SIN3B,55
FOS,199
SIN3A,214
CCNE1,82
POU3F2,9
NR3C1,239
ZBTB7A,29
RAD21,237
NR4A2,33
FLI1,21
PPARG,116
NR4A1,115
BMI1,70
TARDBP,59
POU4F1,3
ELF1,45
AR,271
POU5F1,338
PADI4,8
EBF1,7
DACH1,15
PBX3,19
NFIC,23
E2F6,29
E2F4,73
E2F2,30
E2F1,126
SALL4,53
MXI1,12
GRHL3,1
NOTCH1,204
MBD4,12
ATF3,46
EMX2,6
ATF2,237
POU2F2,13
ILF3,297
ILF2,184
