Pathway,Count
2005 nitrogen dioxide air pollution 24016 raw,4
2006 nitrogen dioxide air pollution 24017 raw,3
2007 particulate matter air pollution (pm10) 24019 raw,8
A/AS levels or equivalent 6138 2,86
Able to confide 2110,12
Able to pay rent/mortgage as an adult 20525,7
Accpeted invitation to complete dietary questionnaire 110001,4
Added milk to filtered coffee 100280,4
Adult-onset Still disease STILL ADULT,7
Age asthma diagnosed 3786 raw,25
Age asthma diagnosed by doctor 22147 raw,4
Age at first live birth 2754 raw,22
Age at last live birth 2764 raw,6
Age at menopause 3581 raw,56
Age cataract diagnosed 4700 raw,160
Age completed full time education 845,52
Age diabetes diagnosed 2976 raw,41
Age first had sexual intercourse 2139 raw,141
Age hay fever/rhinitis/eczema diagnosed 3761 raw,32
Age high blood pressure diagnosed 2966 raw,11
Age started hormone-replacement therapy 3536 raw,5
Age started smoking in current smokers 3436 raw,41
Age started smoking in former smokers 2867 raw,5
Age started wearing glasses/contact lenses 2217 raw,127
Age stroke diagnosed 4056 raw,13
Age when cancer first diagnosed 20007 raw,9
Age when periods started 2714,179
Alcohol intake frequency 1558,104
Alcohol intake vs previous 10 years 1628,15
Alcohol usually taken with meals 1618,23
Alzheimer's disease/dementia in father 20107 10,5
Alzheimer's disease/dementia in mother 20110 10,8
Alzheimer's disease/dementia in siblings 20111 10,5
Amount of alcohol drunk on a typical drinking day 20403,6
Ankle spacing width 3143 raw,429
Any ICDMAIN event in hilmo or causes of death ICDMAIN ANY ENTRY,5
Any mental disorder KRA PSY ANYMENTAL,4
Arthropathic psoriasis L12 PSORI ARTHRO,4
Arthrosis M13 ARTHROSIS,15
Asthma hospital admissions 1 ASTHMA HOSPITAL1,4
Asthma J10 ASTHMA,4
Asthma J10 ASTHMA MAIN,4
Attenpted fluid intelligence test 4924,76
Automated pulse rate reading 102 raw,303
Average champage/white wine intake 1578,4
Average total household income before tax 738,81
Average weekly beer/cider intake 1588,15
Average weekly red wine intake 1568,19
Average weekly spirits intake 1598,4
Avoided activities or situations because of previous stressful experience in past month 20495,11
Back pain in last month 6159 4,12
Bacon intake 103070,19
Basal metabolic rate 23105 raw,833
Basophill count 30160,54
Basophill percentage 30220 raw,220
Beef intake 103020,4
Beef intake 1369,9
Been injured or injured someone else through drinking but not in the last year 20411 1,6
Been involved in combat or exposed to war-zone 20527,4
Beer/cider intake 100710,46
Belittlement by partner or ex-partner as an adult 20521,4
Bilateral oophorectomy 2834,5
Birth weight 20022 raw,108
Birth weight of first child 2744,58
Black hair 1747 5,84
Bleeding gums 6149 3,4
Blonde hair 1747 1,212
Blue cheese intake 102840,140
Body fat percentage 23099 raw,550
Body mass index (BMI) 21001 raw,594
Body mass index (BMI) 23104 raw,567
Both eyes affected by hypermetropia 5832 3,6
Both eyes affected by myopia 5843 3,14
Both eyes affected by presbyopia 5610 3,10
Both eyes present 5182 1,588
Bread intake 1438 raw,21
Breast cancer in mother 20110 5,11
Breast cancer in siblings 20111 5,7
Bring up phlegm/sputum/mucus on most days 22504,4
Butter/spreadable butter used 1428 1,13
C MALE GENITAL,29
C PRIMARY LYMPHOID HEMATOPOIETIC,8
C RESPIRATORY INTRATHORACIC,5
C SKIN,59
C STROKE,4
Cake intake 102190,7
Calcium intake 100024 raw,16
Cancer diagnosed by doctor 2453,13
Cancer year/age first occurred 84 raw,8
Carbohydrate intake 100005 raw,19
Cardiac arrhytmias COPD co-morbidities CARDIAC ARRHYTM,23
Carotene intake 100019 raw,7
