Pathway,Count
JC polyomavirus,2
Sendai virus (strain Fushimi),1
Bovine papillomavirus type 1,28
Human cytomegalovirus,1
Bovine papillomavirus type 2,1
Hepatitis delta virus (isolate D380),1
Human herpesvirus 1,4
Human immunodeficiency virus type 1 (isolate HXB3),2
Vaccinia virus (strain L-IVP),7
Hepatitis C virus genotype 1b (isolate Taiwan),1
Human immunodeficiency virus type 1 (isolate ELI),3
Human adenovirus 2,16
Human immunodeficiency virus type 1 (isolate NDK),1
Human adenovirus 7,1
Human papillomavirus type 58,1
Human adenovirus 5,39
Vaccinia virus,2
Fowl adenovirus 1 (strain CELO / Phelps),2
Epstein-Barr virus (strain GD1),133
Human adenovirus 9,1
Hepatitis E virus (strain Mexico),1
Human adenovirus 12,16
Human immunodeficiency virus 1,489
Human adenovirus 31,1
Cercopithecine herpesvirus 12,4
Cottontail rabbit papillomavirus (strain Kansas),3
Autographa californica nuclear polyhedrosis virus,1
Hepatitis C virus genotype 1b (isolate Con1),1
Saimiriine herpesvirus 2 (strain 488),2
Epstein-Barr virus (strain B95-8),21
Human immunodeficiency virus type 1 (isolate ARV2/SF2),4
Ebola virus (strain Zaire Mayinga),1
Influenza A virus (strain A/Puerto Rico/8/34 H1N1),8
Human cytomegalovirus (strain Towne),1
Human papillomavirus type 8,8
Human papillomavirus type 6b,15
Hepatitis delta virus (isolate American),1
Rous sarcoma virus (strain Prague C),1
Saimiriine herpesvirus 2 (strain 11),1
Murine polyomavirus (strain 3),3
Homo sapiens,22
Rous sarcoma virus (strain Schmidt-Ruppin A),1
Human immunodeficiency virus type 1 (isolate 12),22
Human adenovirus B serotype 3,6
Human T-cell leukemia virus type I (isolate Caribbea),2
Rous sarcoma virus - Schmidt-Ruppin D,3
Poliovirus type 1 (strain Sabin),2
Human cytomegalovirus (strain AD169),1
Human immunodeficiency virus type 1 (isolate Lai),4
Influenza A virus (strain A/Aichi/2/1968 H3N2),1
Human herpesvirus 1 (strain Patton),1
Hepatitis C virus genotype 1a (isolate 1),4
Human SARS coronavirus,3
Hepatitis C virus,20
Human papillomavirus type 11,38
Human papillomavirus type 16,92
Human papillomavirus type 31,10
Hepatitis C virus subtype 1a,3
Human herpesvirus 2,1
Human herpesvirus 3,1
Human papillomavirus type 18,37
Hepatitis C virus genotype 1a (isolate H),4
Human herpesvirus 6,1
Human papillomavirus type 3,2
Bacteriophage PBS2,1
Human T-lymphotropic virus 1,3
Hepatitis C virus genotype 1b (isolate BK),1
Hepatitis C virus subtype 1b,2
Simian virus 40,37
Human papillomavirus type 45,1
Human adenovirus E,2
Vaccinia virus (strain Copenhagen),6
Human papillomavirus type 1a,8
Avian sarcoma virus (strain PR2257),2
Influenza A virus (strain A/Turkey/Oregon/71 H7N3),1
Human herpesvirus 8,4
Cottontail rabbit papillomavirus,1
Human herpesvirus 1 (strain 17),56
Vaccinia virus (strain Western Reserve / WR),15
Hepatitis E virus (strain Burma),2
Murine adenovirus 1,1
Human immunodeficiency virus type 2 (isolate BEN),1
Hepatitis B virus,8
Bacteriophage lambda,1
Simian virus 5 (strain W3),2
