Pathway,Count
A-CA-04-2009(H1N1)MA Day1 GSE36328,300
A-CA-04-2009(H1N1)MA Day3 GSE36328,300
A-CA-04-2009(H1N1) 0Hour GSE47960,300
A-CA-04-2009(H1N1) 0Hour GSE47961,300
A-CA-04-2009(H1N1) 0Hour GSE47962,300
A-CA-04-2009(H1N1) 0Hour GSE37571,300
A-CA-04-2009(H1N1) 0Hour GSE40844,300
A-CA-04-2009(H1N1) 12Hour GSE47960,300
A-CA-04-2009(H1N1) 12Hour GSE47961,300
A-CA-04-2009(H1N1) 12Hour GSE47962,300
A-CA-04-2009(H1N1) 12Hour GSE37571,300
A-CA-04-2009(H1N1) 12Hour GSE40844,300
A-CA-04-2009(H1N1) 18Hour GSE47960,300
A-CA-04-2009(H1N1) 18Hour GSE37571,300
A-CA-04-2009(H1N1) 18hour GSE47962,300
A-CA-04-2009(H1N1) 24Hour GSE47960,300
A-CA-04-2009(H1N1) 24Hour GSE47961,300
A-CA-04-2009(H1N1) 24Hour GSE47962,300
A-CA-04-2009(H1N1) 24Hour GSE37571,300
A-CA-04-2009(H1N1) 24Hour GSE40844,300
A-CA-04-2009(H1N1) 30Hour GSE37571,300
A-CA-04-2009(H1N1) 36Hour GSE47960,300
A-CA-04-2009(H1N1) 36Hour GSE47961,300
A-CA-04-2009(H1N1) 36Hour GSE47962,300
A-CA-04-2009(H1N1) 36Hour GSE37571,300
A-CA-04-2009(H1N1) 3Hour GSE37571,300
A-CA-04-2009(H1N1) 48Hour GSE47960,300
A-CA-04-2009(H1N1) 48Hour GSE47961,300
A-CA-04-2009(H1N1) 48Hour GSE47962,300
A-CA-04-2009(H1N1) 48Hour GSE37571,300
A-CA-04-2009(H1N1) 48Hour GSE40844,300
A-CA-04-2009(H1N1) 6Hour GSE47960,300
A-CA-04-2009(H1N1) 6Hour GSE47961,300
A-CA-04-2009(H1N1) 6Hour GSE47962,300
A-CA-04-2009(H1N1) 7Hour GSE37571,300
A-CA-04-2009(H1N1) Day1 GSE36328,300
A-CA-04-2009(H1N1) Day3 GSE36328,300
A-Netherlands-602-2009(H1N1) 0Hour GSE40844,300
A-Netherlands-602-2009(H1N1) 12Hour GSE40844,300
A-Netherlands-602-2009(H1N1) 18Hour GSE40844,300
A-Netherlands-602-2009(H1N1) 24Hour GSE40844,300
A-Netherlands-602-2009(H1N1) 30Hour GSE40844,300
A-Netherlands-602-2009(H1N1) 36Hour GSE40844,300
A-Netherlands-602-2009(H1N1) 3Hour GSE40844,300
A-Netherlands-602-2009(H1N1) 48Hour GSE40844,300
A-Netherlands-602-2009(H1N1) 7Hour GSE40844,300
A-VN-1203-2004(H5N1) Day1-10^2pfu GSE33263,300
A-VN-1203-2004(H5N1) Day1-10^3pfu GSE33263,300
A-VN-1203-2004(H5N1) Day1-10^4pfu GSE33263,300
A-VN-1203-2004(H5N1) Day2-10^2pfu GSE33263,300
A-VN-1203-2004(H5N1) Day2-10^3pfu GSE33263,300
A-VN-1203-2004(H5N1) Day2-10^4pfu GSE33263,300
A-VN-1203-2004(H5N1) Day4-10^2pfu GSE33263,300
A-VN-1203-2004(H5N1) Day4-10^3pfu GSE33263,300
A-VN-1203-2004(H5N1) Day4-10^4pfu GSE33263,300
A-VN-1203-2004(H5N1) Day7-10^2pfu GSE33263,300
A-VN-1203-2004(H5N1) Day7-10^3pfu GSE33263,300
A-Vietnam-1203-2004(H5N1) 0Hour GSE28166,300
A-Vietnam-1203-2004(H5N1) 12Hour GSE28166,300
A-Vietnam-1203-2004(H5N1) 18Hour GSE28166,300
A-Vietnam-1203-2004(H5N1) 24Hour GSE28166,300
A-Vietnam-1203-2004(H5N1) 24Hour GSE43204,300
A-Vietnam-1203-2004(H5N1) 2day-IDO1KO GSE40792,300
A-Vietnam-1203-2004(H5N1) 2day-TNFRSF1BKO GSE40792,300
A-Vietnam-1203-2004(H5N1) 2day-wtC57BL-6J GSE40792,300
A-Vietnam-1203-2004(H5N1) 3Hour GSE28166,300
A-Vietnam-1203-2004(H5N1) 7Hour GSE28166,300
A-Vietnam-1203-2004(H5N1) 7Hour GSE43204,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 1day-MOI-10^3 GSE43302,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 1day-MOI-10^4 GSE44441,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 2day-MOI-10^3 GSE43302,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 2day-MOI-10^4 GSE44441,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 4day-MOI-10^3 GSE43302,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 4day-MOI-10^4 GSE44441,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 7day-MOI-10^3 GSE43302,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1) 24Hour GSE43203,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1) 7Hour GSE43203,300
A-Vietnam-1203 CIP048 RG3-2004(H5N1)mutPB1-F2del 0Hour GSE43203,300
