Pathway,Count
ACE Inhibitor Pathway WP396,9
Acetylcholine Synthesis WP175,7
Adipogenesis genes WP447,134
Aflatoxin B1 metabolism WP1262,5
Alanine and aspartate metabolism WP240,15
Alpha6-Beta4 Integrin Signaling Pathway WP488,67
Alzheimer's disease WP2075,75
Amino Acid metabolism WP662,95
ApoE and miR-146 in inflammation and atherosclerosis WP3592,8
Apoptosis Modulation by HSP70 WP166,17
Apoptosis WP1254,81
Biogenic Amine Synthesis WP522,15
Blood Clotting Cascade WP460,20
BMP Signaling Pathway in Eyelid Development WP3663,20
Calcium Regulation in the Cardiac Cell WP553,147
Chemokine signaling pathway WP2292,190
Cholesterol Biosynthesis WP103,15
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346,52
"Complement Activation, Classical Pathway WP200",17
Cytokines and Inflammatory Response WP222,27
Cytoplasmic Ribosomal Proteins WP163,92
Delta-Notch Signaling Pathway WP265,83
Distal Convoluted Tubule 1 (DCT1) Cell WP4183,7
DNA Replication WP150,41
Dopaminergic Neurogenesis WP1498,30
Dysregulated miRNA targeting in insulin/PI3K-AKT signaling WP3855,26
EBV LMP1 signaling WP1243,22
EDA signaling in hair follicle development WP3652,18
EGFR1 Signaling Pathway WP572,178
Eicosanoid Lipid Synthesis Map WP4335,9
Eicosanoid metabolism via cyclooxygenases (COX) WP4347,31
Eicosanoid metabolism via Cytochrome P450 Mono-Oxygenases (CYP) pathway WP4349,16
Eicosanoid metabolism via Lipo Oxygenases (LOX) WP4348,32
Eicosanoid Synthesis WP318,18
Electron Transport Chain WP295,103
Endochondral Ossification WP1270,62
EPO Receptor Signaling WP1249,26
ErbB signaling pathway WP1261,46
ESC Pluripotency Pathways WP339,118
Estrogen metabolism WP1264,14
Estrogen signaling WP1244,77
Ethanol metabolism resulting in production of ROS by CYP2E1 WP4265,10
Eukaryotic Transcription Initiation WP567,43
Exercise-induced Circadian Regulation WP544,49
FAS pathway and Stress induction of HSP regulation WP571,37
Fatty acid beta-oxidation WP1269,34
Fatty Acid Biosynthesis WP336,22
Fatty Acid Omega Oxidation WP33,7
Fatty acid oxidation WP2318,10
Focal Adhesion WP85,185
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841,324
Folic Acid Network WP1273,23
G Protein Signaling Pathways WP232,92
G1 to S cell cycle control WP413,61
G13 Signaling Pathway WP298,39
GDNF/RET signaling axis WP4820,23
Gene regulatory network modelling somitogenesis  WP2852,11
Glucuronidation WP1241,16
Glutathione and one-carbon metabolism WP730,31
Glutathione metabolism WP164,20
Glycerolipids and Glycerophospholipids WP4345,23
Glycogen Metabolism WP317,34
Glycolysis and Gluconeogenesis WP157,51
"GPCRs, Class A Rhodopsin-like WP189",228
"GPCRs, Class B Secretin-like WP456",22
"GPCRs, Class C Metabotropic glutamate, pheromone WP327",15
"GPCRs, Other WP41",155
Heart Development WP2067,44
Hedgehog Signaling Pathway WP116,22
Heme Biosynthesis WP18,9
Hfe effect on hepcidin production WP3673,7
Histone modifications WP300,5
Homologous recombination WP1258,13
Hypertrophy Model WP202,20
Hypothetical Network for Drug Addiction WP1246,31
Id Signaling Pathway WP512,51
IL-1 Signaling Pathway WP37,37
IL-2 Signaling Pathway WP450,76
IL-3 Signaling Pathway WP373,100
IL-5 Signaling Pathway WP151,69
IL-6 signaling Pathway WP387,99
IL-7 Signaling Pathway WP297,44
IL-9 Signaling Pathway WP10,24
Inflammatory Response Pathway WP458,30
Insulin Signaling WP65,159
Integrin-mediated Cell Adhesion WP6,100
Irinotecan pathway WP475,10
Iron Homeostasis WP1596,15
Keap1-Nrf2 WP1245,14
Kennedy pathway WP1771,14
Kit Receptor Signaling Pathway WP407,67
Leptin and adiponectin WP683,10
Leptin Insulin Overlap WP578,18
Lung fibrosis WP3632,61
Macrophage markers WP2271,10
MAPK Cascade WP251,28
MAPK signaling pathway WP493,159
Matrix Metalloproteinases WP441,29
Mecp2 and Associated Rett Syndrome WP2910,47
Metapathway biotransformation WP1251,141
Methylation WP1247,9
Microglia Pathogen Phagocytosis Pathway WP3626,41
MicroRNAs in Cardiomyocyte Hypertrophy WP1560,82
miR-127 in mesendoderm differentiation WP3991,9
mir-193a and MVP in colon cancer metastasis WP3979,6
miRNAs and TFs in iPS Cell Generation WP2375,7
Mismatch repair WP1257,9
Mitochondrial Gene Expression WP1263,19
Mitochondrial LC-Fatty Acid Beta-Oxidation WP401,16
Monoamine GPCRs WP570,33
mRNA processing WP310,457
Myometrial Relaxation and Contraction Pathways WP385,153
Neural Crest Differentiation WP2074,101
NLR Proteins WP1256,9
Non-homologous end joining WP1242,6
Non-odorant GPCRs WP1396,267
Notch Signaling Pathway WP29,46
Novel Jun-Dmp1 Pathway WP3654,26
Nuclear receptors in lipid metabolism and toxicity WP431,30
Nuclear Receptors WP509,38
Nucleotide GPCRs WP207,12
Nucleotide metabolism WP87,19
Odorant GPCRs WP1397,189
Omega-3/Omega-6 FA synthesis WP4350,15
Omega-9 FA synthesis WP4351,14
One-carbon metabolism and related pathways WP1770,52
One-carbon metabolism WP435,29
Orphan GPCRs WP1398,19
Osteoblast WP238,10
