Pathway,Count
ACE Inhibitor Pathway(Homo sapiens),17
ACE Inhibitor Pathway(Mus musculus),8
AGE/RAGE pathway(Homo sapiens),66
AMPK Signaling(Homo sapiens),69
ATM Signaling Pathway(Homo sapiens),40
Acetylcholine Synthesis(Homo sapiens),7
Acetylcholine Synthesis(Mus musculus),6
Adipogenesis genes(Mus musculus),129
Adipogenesis(Homo sapiens),134
Aflatoxin B1 metabolism(Homo sapiens),8
Alanine and aspartate metabolism(Homo sapiens),12
Alanine and aspartate metabolism(Mus musculus),12
Allograft Rejection(Homo sapiens),82
Alpha 6 Beta 4 signaling pathway(Homo sapiens),33
Alpha6-Beta4 Integrin Signaling Pathway(Mus musculus),64
Alzheimers Disease(Homo sapiens),79
Alzheimers Disease(Mus musculus),73
Amino Acid metabolism(Mus musculus),92
Amino acid conjugation of benzoic acid(Homo sapiens),5
Amyotrophic lateral sclerosis (ALS)(Homo sapiens),37
Androgen receptor signaling pathway(Homo sapiens),90
Angiogenesis(Homo sapiens),23
Apoptosis Modulation and Signaling(Homo sapiens),80
Apoptosis Modulation by HSP70(Homo sapiens),21
Apoptosis Modulation by HSP70(Mus musculus),16
Apoptosis(Homo sapiens),86
Apoptosis(Mus musculus),79
Apoptosis-related network due to altered Notch3 in ovarian cancer(Homo sapiens),52
Arachidonate Epoxygenase / Epoxide Hydrolase(Homo sapiens),7
Arrhythmogenic Right Ventricular Cardiomyopathy(Homo sapiens),74
Aryl Hydrocarbon Receptor(Homo sapiens),43
Arylamine metabolism(Homo sapiens),7
Arylhydrocarbon receptor (AhR) signaling pathway(Homo sapiens),29
B Cell Receptor Signaling Pathway(Homo sapiens),93
BDNF signaling pathway(Homo sapiens),142
BMP Signalling and Regulation(Homo sapiens),12
Benzo(a)pyrene metabolism(Homo sapiens),9
Biogenic Amine Synthesis(Homo sapiens),15
Biogenic Amine Synthesis(Mus musculus),14
Blood Clotting Cascade(Homo sapiens),24
Blood Clotting Cascade(Mus musculus),19
Calcium Regulation in the Cardiac Cell(Homo sapiens),149
Calcium Regulation in the Cardiac Cell(Mus musculus),143
Cardiac Hypertrophic Response(Homo sapiens),56
Cardiac Progenitor Differentiation(Homo sapiens),53
Catalytic cycle of mammalian FMOs(Homo sapiens),5
Cell Cycle(Homo sapiens),104
Chemokine signaling pathway(Mus musculus),165
Cholesterol Biosynthesis(Homo sapiens),15
Cholesterol Biosynthesis(Mus musculus),15
Codeine and Morphine Metabolism(Homo sapiens),8
"Complement Activation, Classical Pathway(Homo sapiens)",17
