Pathway,Count
"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879",18
ACE Inhibitor Pathway WP554,17
AGE/RAGE pathway WP2324,66
AMP-activated Protein Kinase (AMPK) Signaling WP1403,69
ATM Signaling Network in Development and Disease  WP3878,45
ATM Signaling Pathway WP2516,40
ATR Signaling WP3875,9
Acetylcholine Synthesis WP528,7
Adipogenesis WP236,130
Aflatoxin B1 metabolism WP699,7
Alanine and aspartate metabolism WP106,12
Allograft Rejection WP2328,89
Alpha 6 Beta 4 signaling pathway WP244,33
Alzheimers Disease WP2059,83
Amino Acid metabolism WP3925,91
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678,17
Amyotrophic lateral sclerosis (ALS) WP2447,38
Androgen receptor signaling pathway WP138,90
Angiogenesis WP1539,24
Angiopoietin Like Protein 8 Regulatory Pathway WP3915,132
ApoE and miR-146 in inflammation and atherosclerosis WP3926,8
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864,53
Apoptosis Modulation and Signaling WP1772,91
Apoptosis Modulation by HSP70 WP384,19
Apoptosis WP254,84
Arachidonate Epoxygenase / Epoxide Hydrolase WP678,7
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118,74
Aryl Hydrocarbon Receptor Pathway WP2873,46
Aryl Hydrocarbon Receptor WP2586,46
Arylamine metabolism WP694,6
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680,66
BDNF-TrkB Signaling WP3676,34
BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation WP3876,13
BMP Signaling Pathway in Eyelid Development WP3927,20
B Cell Receptor Signaling Pathway WP23,97
Benzene metabolism WP3891,6
Benzo(a)pyrene metabolism WP696,9
Bile Acids synthesis and enterohepatic circulation  WP4389,12
Biogenic Amine Synthesis WP550,15
Bladder Cancer WP2828,40
Blood Clotting Cascade WP272,23
Bone Morphogenic Protein (BMP) Signalling and Regulation WP1425,12
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380,144
Breast cancer pathway WP4262,154
Calcium Regulation in the Cardiac Cell WP536,149
Caloric restriction and aging WP4191,8
Cannabinoid receptor signaling WP3869,29
Canonical  and Non-canonical Notch signaling WP3845,27
Canonical and Non-Canonical TGF-B signaling WP3874,17
Cardiac Hypertrophic Response WP2795,55
Cardiac Progenitor Differentiation WP2406,53
Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs) WP688,5
Cell-type Dependent Selectivity of CCK2R Signaling WP3679,13
Cell Cycle WP179,120
Cell Differentiation - Index WP2029,13
Cell Differentiation - Index expanded WP2023,19
Cells and Molecules involved in local acute inflammatory response  WP4493,17
"Cerebral Organic Acidurias, including diseases WP4519",7
Chemokine signaling pathway WP3929,164
Cholesterol Biosynthesis Pathway WP197,15
Chromosomal and microsatellite instability in colorectal cancer  WP4216,73
Ciliary landscape WP4352,216
Circadian rhythm related genes WP3594,201
"Classical pathway of steroidogenesis, including diseases WP4523",15
Codeine and Morphine Metabolism WP1604,15
Common Pathways Underlying Drug Addiction WP2636,42
Complement Activation WP545,22
Complement and Coagulation Cascades WP558,58
Composition of Lipid Particles WP3601,9
Constitutive Androstane Receptor Pathway WP2875,32
Copper homeostasis WP3286,52
Cori Cycle WP1946,16
Corticotropin-releasing hormone signaling pathway WP2355,93
Cysteine and methionine catabolism WP4504,14
Cytokines and Inflammatory Response WP530,26
Cytoplasmic Ribosomal Proteins WP477,89
Cytosine methylation WP3585,9
DDX1 as a regulatory component of the Drosha microprocessor WP2942,7
DNA Damage Response (only ATM dependent) WP710,110
DNA Damage Response WP707,68
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959,55
DNA IR-damage and cellular response via ATR WP4016,80
DNA Mismatch Repair WP531,9
DNA Replication WP466,42
"Degradation pathway of sphingolipids, including diseases WP4153",9
Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291,16
Development and heterogeneity of the ILC family WP3893,32
Development of pulmonary dendritic cells and macrophage subsets WP3892,13
Differentiation Pathway WP2848,48
Differentiation of white and brown adipocyte    WP2895,25
Disorders of Folate Metabolism and Transport WP4259,13
Disorders of the Krebs cycle WP4236,7
Dopamine metabolism WP2436,13
Dopaminergic Neurogenesis WP2855,30
Drug Induction of Bile Acid Pathway WP2289,17
Dual hijack model of Vif in HIV infection WP3300,8
EBV LMP1 signaling WP262,23
EDA Signalling in Hair Follicle Development WP3930,13
EGF/EGFR Signaling Pathway WP437,162
EPO Receptor Signaling WP581,26
ERK Pathway in Huntington's Disease WP3853,14
ESC Pluripotency Pathways WP3931,116
EV release from cardiac cells and their functional effects WP3297,7
Ebola Virus Pathway on Host WP4217,129
Ectoderm Differentiation WP2858,138
Effects of Nitric Oxide WP1995,8
Eicosanoid Synthesis WP167,27
Electron Transport Chain (OXPHOS system in mitochondria) WP111,103
Endochondral Ossification WP474,64
Endoderm Differentiation WP2853,141
Endometrial cancer WP4155,63
Endothelin Pathways WP2197,33
Energy Metabolism WP1541,47
Epithelial to mesenchymal transition in colorectal cancer WP4239,159
ErbB Signaling Pathway WP673,91
Estrogen Receptor Pathway WP2881,13
Estrogen metabolism WP697,18
Estrogen signaling pathway WP712,23
Ethanol effects on histone modifications WP3996,31
Ethanol metabolism resulting in production of ROS by CYP2E1 WP4269,10
Eukaryotic Transcription Initiation WP405,43
Exercise-induced Circadian Regulation WP410,48
Extracellular vesicle-mediated signaling in recipient cells WP2870,30
Extracellular vesicles in the crosstalk of cardiac cells WP4300,19
FTO Obesity Variant Mechanism WP3407,8
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3850,31
Farnesoid X Receptor  Pathway WP2879,19
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation WP314,42
Fatty Acid Beta Oxidation WP143,34
Fatty Acid Biosynthesis WP357,22
Fatty Acid Omega Oxidation WP206,15
Ferroptosis WP4313,40
Fibrin Complement Receptor 3 Signaling Pathway WP4136,37
Fluoropyrimidine Activity WP1601,33
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932,303
Focal Adhesion WP306,198
Folate-Alcohol and Cancer Pathway Hypotheses WP1589,9
Folate Metabolism WP176,66
Follicle Stimulating Hormone (FSH) signaling pathway WP2035,27
G1 to S cell cycle control WP45,64
G13 Signaling Pathway WP524,39
GABA receptor Signaling WP4159,31
"GPCRs, Class A Rhodopsin-like WP455",257
"GPCRs, Class B Secretin-like WP334",24
"GPCRs, Class C Metabotropic glutamate, pheromone WP501",15
"GPCRs, Other WP117",91
GPR40 Pathway WP3958,15
G Protein Signaling Pathways WP35,93
