Pathway,Count
ACE Inhibitor Pathway WP396,9
Acetylcholine Synthesis WP175,7
Adipogenesis genes WP447,134
Aflatoxin B1 metabolism WP1262,5
Alanine and aspartate metabolism WP240,15
Alpha6-Beta4 Integrin Signaling Pathway WP488,67
Alzheimers Disease WP2075,75
Amino Acid metabolism WP662,95
ApoE and miR-146 in inflammation and atherosclerosis WP3592,8
Apoptosis Modulation by HSP70 WP166,17
Apoptosis WP1254,81
BMP Signaling Pathway in Eyelid Development WP3663,20
Biogenic Amine Synthesis WP522,15
Blood Clotting Cascade WP460,20
Calcium Regulation in the Cardiac Cell WP553,147
Chemokine signaling pathway WP2292,190
Cholesterol Biosynthesis WP103,15
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346,49
"Complement Activation, Classical Pathway WP200",17
Complement and Coagulation Cascades WP449,62
Cytokines and Inflammatory Response WP222,27
Cytoplasmic Ribosomal Proteins WP163,92
DNA Replication WP150,41
Delta-Notch Signaling Pathway WP265,83
Dopaminergic Neurogenesis WP1498,30
Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling WP3855,26
EBV LMP1 signaling WP1243,22
EDA Signalling in Hair Follicle Development WP3652,18
EGFR1 Signaling Pathway WP572,178
EPO Receptor Signaling WP1249,26
ESC Pluripotency Pathways WP339,118
Eicosanoid Lipid Synthesis Map WP4335,9
Eicosanoid Synthesis WP318,18
Eicosanoid metabolism via Cyclo Oxygenases (COX) WP4347,31
Eicosanoid metabolism via Cytochrome P450 Mono-Oxygenases (CYP) pathway WP4349,16
Eicosanoid metabolism via Lipo Oxygenases (LOX) WP4348,32
Electron Transport Chain WP295,103
Endochondral Ossification WP1270,62
ErbB signaling pathway WP1261,46
Estrogen metabolism WP1264,14
Estrogen signaling WP1244,77
Ethanol metabolism resulting in production of ROS by CYP2E1 WP4265,10
Eukaryotic Transcription Initiation WP567,43
Exercise-induced Circadian Regulation WP544,49
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3675,31
Fatty Acid Beta Oxidation WP1269,34
Fatty Acid Biosynthesis WP336,22
Fatty Acid Omega Oxidation WP33,7
Fatty acid oxidation WP2318,10
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841,324
Focal Adhesion WP85,185
Folic Acid Network WP1273,23
G1 to S cell cycle control WP413,61
G13 Signaling Pathway WP298,39
"GPCRs, Class A Rhodopsin-like WP189",228
"GPCRs, Class B Secretin-like WP456",22
"GPCRs, Class C Metabotropic glutamate, pheromone WP327",15
"GPCRs, Other WP41",155
G Protein Signaling Pathways WP232,92
Gene regulatory network modelling somitogenesis  WP2852,11
Glucocorticoid & Mineralcorticoid Metabolism WP495,14
Glucuronidation WP1241,16
Glutathione and one carbon metabolism WP730,31
Glutathione metabolism WP164,20
Glycogen Metabolism WP317,34
Glycolysis and Gluconeogenesis WP157,51
Heart Development WP2067,44
Hedgehog Signaling Pathway WP116,22
Heme Biosynthesis WP18,9
Hfe effect on hepcidin production WP3673,7
Histone modifications WP300,5
Homologous recombination WP1258,13
Hypertrophy Model WP202,20
Hypothetical Network for Drug Addiction WP1246,31
IL-1 Signaling Pathway WP37,37
IL-2 Signaling Pathway WP450,76
IL-3 Signaling Pathway WP373,100
IL-5 Signaling Pathway WP151,69
IL-6 signaling Pathway WP387,99
IL-7 Signaling Pathway WP297,44
IL-9 Signaling Pathway WP10,24
Id Signaling Pathway WP512,51
Inflammatory Response Pathway WP458,30
Insulin Signaling WP65,159
Integrin-mediated Cell Adhesion WP6,100
Irinotecan Pathway WP475,10
Iron Homeostasis WP1596,15
Keap1-Nrf2 WP1245,14
Kennedy pathway WP1771,14
Kit Receptor Signaling Pathway WP407,67
Leptin Insulin Overlap WP578,18
Leptin and adiponectin WP683,10
Lung fibrosis WP3632,61
MAPK Cascade WP251,28
MAPK signaling pathway WP493,159
Macrophage markers WP2271,10
Matrix Metalloproteinases WP441,29
Mecp2 and Associated Rett Syndrome WP2910,47
Metapathway biotransformation WP1251,141
Methylation WP1247,9
MicroRNAs in Cardiomyocyte Hypertrophy WP1560,82
Microglia Pathogen Phagocytosis Pathway WP3626,41
Mismatch repair WP1257,9
Mitochondrial Gene Expression WP1263,19
Mitochondrial LC-Fatty Acid Beta-Oxidation WP401,16
Monoamine GPCRs WP570,33
Myometrial Relaxation and Contraction Pathways WP385,153
NLR Proteins WP1256,9
Neural Crest Differentiation WP2074,101
Non-homologous end joining WP1242,6
Non-odorant GPCRs WP1396,267
Notch Signaling Pathway WP29,46
Novel Jun-Dmp1 Pathway WP3654,26
Nuclear Receptors WP509,38
Nuclear receptors in lipid metabolism and toxicity WP431,30
Nucleotide GPCRs WP207,12
Nucleotide Metabolism WP87,19
Odorant GPCRs WP1397,189
One Carbon Metabolism WP435,29
One carbon metabolism and related pathways WP1770,52
Orphan GPCRs WP1398,19
Osteoblast WP238,10
Osteoclast WP454,14
Ovarian Infertility Genes WP273,31
Oxidation by Cytochrome P450 WP1274,40
Oxidative Damage WP1496,42
Oxidative Stress WP412,28
Oxidative phosphorylation WP1248,62
PPAR signaling pathway WP2316,81
