Pathway,Count
NOL12,47
SND1,11
RPL8,98
COMMD1,8
PDS5B,9
TPR,48
GNAI2,5
LMNB1,14
RPL5,137
DSCR3,10
RPL7L1,20
HNRNPH1,7
SERBP1,48
CDC40,15
RING1,5
DDX23,9
WBP11,8
NOL6,25
NDUFB8,8
MRPS30,52
CERCAM,5
PSMA5,6
BRIX1,61
YARS2,11
WBSCR16,11
PPIF,6
NSA2,30
POLR3G,6
STX12,6
CNOT10,9
CEP170,10
PHF5A,8
DRG1,7
DDX27,21
SNU13,22
RPS4X,34
MOB4,6
PUM3,126
PLXNA3,6
IMP3,12
CCNA2,12
MRPL18,37
ZNF219,13
BRMS1,7
CBX8,6
DPF2,6
UBE2V1,6
HNRNPF,8
PPIE,6
MRPL11,26
PPP1R7,5
POLR3K,7
POLR1A,10
MED16,18
CTBP1,5
RBM39,7
EMC8,5
MYO18A,9
HIST1H1C,9
MRPL16,39
FSCN1,6
ATP5A1,25
RPS10,81
TTF1,51
ST5,5
SRSF1,33
KRI1,67
EIF3K,10
CSNK2A2,6
MED8,31
EPB41L1,11
PSMD13,6
PSMF1,15
CCNH,5
SMARCD2,11
XAB2,16
ZNF24,6
ATP5F1,5
SMARCD3,6
PSMB4,14
MRPS2,14
MYEF2,15
GUSB,10
GPN1,6
BTF3,31
PSMD1,12
EBNA1BP2,20
GSTO1,5
MRPS22,11
GADD45GIP1,39
DPYSL3,7
L1CAM,14
POLR2D,11
NFRKB,5
PSMC5,16
TXNDC16,7
STX5,9
CNOT7,8
MPPED1,6
SLC25A5,34
DKC1,9
MRPL15,46
ENO3,5
YBX1,32
USP7,6
RRS1,18
CDK19,5
TMED10,7
ARPC4,32
PRDM15,7
PRKAR2A,6
EXOC8,7
CDC23,15
DDX54,51
PSMC4,24
PDRG1,5
COPS6,6
CD3EAP,5
LYAR,10
ZC3H11A,5
GSN,5
PHB,10
MRPL1,49
SEPT6,5
EIF2S1,38
CCT2,5
RACK1,53
SRP72,56
ZSCAN30,5
PCMT1,6
CALML3,42
RPL39,12
SMARCA2,7
RRP12,70
PLRG1,18
SSH2,9
CCT7,9
POLR3F,7
COPS7A,6
MRPS23,11
MED13L,26
PSMC3,5
PRPF6,7
DDX1,6
DAB2,14
CDC26,9
POP1,81
NDC80,6
SRSF3,5
PSMA4,15
CENPQ,7
LARP1,41
