Pathway,Count
PS00086,54
PS00107,378
PS50011,482
PS00108,311
PS50030,42
PS50835,715
PS00142,89
PS50102,216
PS50293,126
PS50004,146
PS51847,5
PS50297,251
PS50088,242
PS00290,62
PS00457,5
PS50283,12
PS00028,778
PS50157,761
PS50003,247
PS50238,66
PS50002,225
PS51716,3
PS50850,96
PS00216,23
PS51450,201
PS50292,10
PS01208,33
PS50184,33
PS00187,1
PS50127,40
PS50010,70
PS01188,6
PS00420,20
PS50287,24
PS50188,96
PS50853,194
PS50195,48
PS51154,10
PS50103,59
PS00660,21
PS50057,48
PS51192,108
PS51194,108
PS50862,17
PS51880,7
PS00012,4
PS51184,33
PS01225,22
PS00022,182
PS50022,21
PS01209,43
PS50068,44
PS50092,66
PS51233,17
PS50234,68
PS01186,219
PS01248,30
PS50027,28
PS51116,3
PS51117,16
PS01295,1
PS51710,6
PS51883,2
PS50082,228
PS50294,240
PS50240,116
PS00383,72
PS50056,84
PS50054,42
PS00058,5
PS51389,2
PS00432,17
PS01132,19
PS00615,44
PS50041,85
PS50026,201
PS51314,4
PS00854,11
PS51476,11
PS50190,15
PS00236,44
PS50975,13
PS51041,16
PS00027,193
PS50071,242
PS00626,16
PS50012,20
PS51723,2
PS00462,7
PS00227,23
PS50888,114
PS00478,71
PS50023,71
PS51733,3
PS50200,37
PS00223,14
PS51897,14
PS51221,14
PS00972,64
PS00973,66
PS50235,75
PS00228,10
PS50966,9
PS50096,84
PS51456,39
PS51844,19
PS51905,5
PS00477,8
PS52003,4
PS50805,362
PS51065,5
PS50089,284
PS51882,17
PS00657,34
PS00658,48
PS50039,51
PS50021,81
PS01359,76
PS51354,9
PS51462,27
PS50176,29
PS51214,8
PS50112,30
PS51757,8
PS51082,21
PS00479,57
PS50081,62
PS50097,139
PS51183,11
PS00062,10
PS51465,50
PS50053,55
PS50309,9
PS50231,27
PS51387,6
PS50033,13
PS00411,41
PS50067,45
PS51285,55
PS50038,23
PS50261,60
PS51195,37
PS50106,149
PS51770,5
PS00237,546
PS50262,727
PS50192,25
PS01310,8
PS50059,17
PS50005,109
PS51304,16
PS00010,102
PS01180,51
PS01187,100
PS50923,55
PS00135,94
PS00991,6
PS51072,13
PS51419,77
PS01259,8
PS50104,26
PS51420,20
PS01179,32
PS01159,41
PS50020,50
PS00198,5
PS51379,5
PS50017,25
PS00652,24
PS50050,22
PS00979,9
PS00980,13
PS00981,11
PS50259,20
PS50250,24
PS51256,7
PS01047,3
PS50846,4
PS60024,2
PS51150,2
PS00598,19
PS50013,24
PS51119,5
PS51135,5
PS50942,9
PS50945,4
PS00250,32
PS51362,37
PS01200,4
PS01201,3
PS50405,33
PS50249,17
PS50237,28
PS51547,8
PS00915,13
PS00916,16
PS50290,19
PS51544,4
PS51546,7
PS51545,10
PS50968,10
PS00189,5
PS51826,3
PS00713,7
PS00714,7
PS50878,12
PS51324,3
PS51352,35
PS50108,18
PS50229,11
PS00126,21
PS51845,21
PS50166,13
PS00900,1
PS00489,1
PS51158,6
PS50084,33
PS00410,6
PS51718,14
PS51388,8
PS01287,2
PS51984,1
PS51985,1
PS50078,5
PS50001,107
PS50144,12
PS00518,166
PS50145,12
PS50025,38
PS51121,1
PS50024,23
PS51471,21
PS01325,3
PS51980,6
PS51843,48
PS00031,46
PS51030,46
PS51021,16
PS01346,22
PS00571,2
PS50172,21
PS51051,4
PS51043,6
PS51358,3
PS00039,25
PS00530,1
PS00531,1
PS00514,19
PS51406,32
PS01185,13
PS00222,11
PS51323,20
PS00472,22
PS00678,169
PS50119,77
PS00349,4
PS51080,4
PS00125,13
PS00246,19
PS00469,6
PS00122,8
PS00941,14
PS00124,2
PS00183,26
PS50979,5
PS50989,4
PS50980,4
PS00866,5
PS00867,6
PS00476,2
PS51011,15
PS51054,12
PS50225,37
PS50227,27
PS50221,35
PS00740,10
PS50060,18
PS50055,37
PS51741,25
PS51042,7
PS00071,2
PS01031,9
PS50075,5
PS50939,6
PS50219,15
PS01241,12
PS50963,14
PS50969,8
PS50058,14
PS00332,3
PS00471,13
PS00524,10
PS50958,10
PS51089,8
PS50186,22
PS50841,7
PS51064,12
PS00914,15
PS00011,14
PS50998,14
PS50215,40
PS50214,21
PS50929,27
PS00211,44
PS50893,48
PS51805,22
PS51543,5
PS51542,5
PS50868,15
PS50280,51
PS50016,72
PS00095,2
PS51679,4
PS50209,28
PS01245,3
PS00629,4
PS00630,5
PS00379,4
PS51678,9
PS00061,36
PS50804,59
PS51695,1
PS51676,6
PS01285,18
PS01286,16
PS50049,16
PS51258,7
PS51259,5
PS51421,36
PS50203,15
PS00018,181
PS50222,223
PS00139,21
PS00421,21
PS00388,8
PS51475,8
PS00720,14
PS50009,29
PS50212,22
PS50824,23
PS50834,4
