P03886	MT-ND1

P03891	MT-ND2

P00395	MT-CO1

P00403	MT-CO2

P03928	MT-ATP8

P00846	MT-ATP6

P00414	MT-CO3

P03897	MT-ND3

P03901	MT-ND4L

P03905	MT-ND4

P03915	MT-ND5

P03923	MT-ND6

P00156	MT-CYB

	

P0DMU3	

Q8WZ33	

	MAFIP

P0DP08	

O60813	PRAMEF11

O60812	HNRNPCL1

O60811	PRAMEF2

O60810	PRAMEF4

O60809	PRAMEF10

Q5VXH5	PRAMEF7

Q5VXH4	PRAMEF6

A3QJZ7	PRAMEF27

B7ZW38	HNRNPCL3

A6NGN4	PRAMEF25

B2RXH8	HNRNPCL2

	PRAMEF26

P0DMR1	HNRNPCL4

	PRAMEF9

Q5VWM6	PRAMEF13

	PRAMEF13

Q5VWM3	PRAMEF18

Q5TYX0	PRAMEF5

Q5VWM4	PRAMEF8

A0A0G2JMD5	PRAMEF33

Q8NGQ1	OR9G4

	OR5G3

	OR9G1

	OR9G9

Q15835	GRK1

	TOLLIP

	BRSK2

	DUSP8

	KRTAP5-1

	KRTAP5-2

	KRTAP5-3

	KRTAP5-4

	KRTAP5-5

	MOB2

O14603	PRY

	TSPY8

	TSPY4

	TSPY9

O00507	USP9Y

	USP9Y

O14603	PRY2

O14602	EIF1AY

	EIF1AY

	BPY2

O14599	BPY2

P0CW01	TSPY10

	TSPY10

Q01534	TSPY1

	RBMY1D

Q96R67	OR4C12

A6NMZ5	OR4C45

P0C7P1	RBMY1D

Q96LI6	HSFY2

Q86V24	ADIPOR2

	CACNA2D4

Q7Z3S7	CACNA2D4

Q8N967	LRTM2

Q9BY66	KDM5D

	LRTM2

Q8IZD4	DCP1B

	DCP1B

	KDM5D

Q96LI6	HSFY1

Q8IUE0	TGIF2LY

	CACNA1C

Q13936	CACNA1C

Q15415	RBMY1F

	RBMY1F

Q9Y6F7	CDY2A

O14599	BPY2C

	BPY2C

	DAZ4

Q86SG3	DAZ4

Q9Y6F7	CDY2B

Q05066	SRY

P22090	RPS4Y1

	RPS4Y1

P08048	ZFY

	ZFY

Q9NUC0	SERTAD4

Q5VTY9	HHAT

	HHAT

O15523	DDX3Y

	DDX3Y

	UTY

O14607	UTY

O14604	TMSB4Y

O14598	VCY

Q9NR90	DAZ3

	DAZ3

Q9NQZ3	DAZ1

	DAZ1

Q8ND23	CARMIL3

Q99218	AMELY

O95741	CPNE6

	CPNE6

P54845	NRL

	NRL

	PCK2

Q16822	PCK2

	DCAF11

Q8TEB1	DCAF11

Q9BQ87	TBL1Y

	TBL1Y

A5D6W6	FITM1

	PSME1

Q06323	PSME1

	EMC9

Q9Y3B6	EMC9

	PSME2

Q9UL46	PSME2

	RNF31

Q96EP0	RNF31

Q13117	DAZ2

	DAZ2

Q00978	IRF9

	IRF9

	TSPY2

O95072	REC8

A6NKD2	TSPY2

	REC8

Q8TEX9	IPO4

	IPO4

	RBMY1E

A6NEQ0	RBMY1E

	TM9SF1

O15321	TM9SF1

Q6SA08	TSSK4

	TSSK4

	NLGN4Y

Q9BY43	CHMP4A

	CHMP4A

Q8NFZ3	NLGN4Y

Q86V88	MDP1

	NEDD8-MDP1

	NEDD8

Q15843	NEDD8

	GMPR2

Q9P2T1	GMPR2

O14598	VCY1B

	TINF2

Q9BSI4	TINF2

Q8TD47	RPS4Y2

P22735	TGM1

	TGM1

	RABGGTA

Q92696	RABGGTA

Q96LJ7	DHRS1

	DHRS1

Q9BZA8	PCDH11Y

Q86U38	NOP9

	PCDH11Y

	NOP9

Q9UHD4	CIDEB

	CIDEB

	LTB4R2

Q9NPC1	LTB4R2

	LTB4R

Q15722	LTB4R

	ADCY4

Q9Y6F8	CDY1B

Q8NFM4	ADCY4

Q9Y572	RIPK3

	RIPK3

	BPY2B

O14599	BPY2B

Q14934	NFATC4

	NFATC4

	DHRS4

Q9BTZ2	DHRS4

Q9Y6F8	CDY1

	DHRS4L2

Q15415	RBMY1J

A0A494C1R9	TSPY9

A6NDE4	RBMY1B

	RBMY1B

P0DJD3	RBMY1A1

	RBMY1A1

Q16695	H3-4

Q7L7L0	H2AC25

Q8N257	H2BC26

Q5TA31	RNF187

Q7L0Q8	RHOU

A8MZ59	LEUTX

Q9Y463	DYRK1B

P0CV99	TSPY4

	DYRK1B

	FBL

P22087	FBL

P43686	PSMC4

	ZNF546

P0CW00	TSPY8

Q86UE3	ZNF546

Q9Y6R6	ZNF780B

	ZNF780B

	ZNF780A

P0CV98	TSPY3

O75290	ZNF780A

	TSPY3

Q9Y6R7	FCGBP

	PPP2R3B

	IL3RA

	P2RY8

	SLC25A6

	ASMT

	DHRSX

	ASMTL

	AKAP17A

	PLCXD1

	ZBED1

	CD99

	SHOX

	CSF2RA

	GTPBP6

	CRLF2

	VAMP7

	WASH6P

	IL9R

Q64ET8	FRG2

	FRG1

Q14331	FRG1

	DUX4L8

	DUX4

Q9UBX2	DUX4

Q8IXL6	FAM20C

	GPR20

	PTP4A3

	C8orf90

	MROH5

Q6ZUA9	MROH5

	SHANK3

	ACR

	GCGR

P47871	GCGR

C9JLW8	MCRIP1

	MCRIP1

Q86WC6	PPP1R27

	PPP1R27

	C6orf52

Q5T4I8	C6orf52

Q9NWT1	PAK1IP1

Q9P0S9	TMEM14C

	GCNT2

Q8N0V5	GCNT2

	ARHGEF19

	CPLANE2

	FBXO42

	SZRD1

	SPATA21

	NECAP2

	PADI2

	NBPF1

Q9BZR8	BCL2L14

	BCL2L14

O75581	LRP6

	LRP6

Q9H8J5	MANSC1

	MANSC1

Q969J3	BORCS5

	BORCS5

Q9BY84	DUSP16

	DUSP16

Q9P0L1	ZKSCAN7

	ZKSCAN7

	ZNF660

Q6AZW8	ZNF660

	ZNF197

O14709	ZNF197

P13682	ZNF35

	ZNF35

Q8TBZ5	ZNF502

	ZNF502

Q96CX3	ZNF501

Q96AT1	KIAA1143

	KIF15

Q9NS87	KIF15

Q69YG0	TMEM42

P49221	TGM4

	TGM4

	ZNF852

Q6ZMS4	ZNF852

	ACTG1

	BAHCC1

	ITGA9

Q19T08	ECSCR

A0A1B0GW64	SMIM33

Q86WV6	STING1

	STING1

	ELP5

Q8TE02	ELP5

O95471	CLDN7

	CLDN7

P14672	SLC2A4

	SLC2A4

Q9Y2T7	YBX2

	YBX2

P63241	EIF5A

	EIF5A

	GPS2

Q13227	GPS2

Q96JN8	NEURL4

	NEURL4

Q15027	ACAP1

	ACAP1

Q693B1	KCTD11

Q3KNT9	TMEM95

	C1R

	C1RL

Q9NZP8	C1RL

P82980	RBP5

	RBP5

	CLSTN3

Q9BQT9	CLSTN3

	PEX5

P50542	PEX5

Q9ULC6	PADI1

Q9ULW8	PADI3

	PADI4

Q9UM07	PADI4

Q6TGC4	PADI6

Q9P258	RCC2

P0C7N5	OR8U9

	OR8J2

	OR8U8

Q8NGG3	OR5T3

Q8NGG2	OR5T2

Q8NH51	OR8K3

Q8NGG4	OR8H1

	OR8H1

Q8NG75	OR5T1

Q8NGG5	OR8K1

Q8NGP2	OR8J1

	SAA1

Q9UPZ3	HPS5

	HPS5

P32780	GTF2H1

	GTF2H1

	LDHA

P00338	LDHA

Q9UKK3	PARP4

P98073	TMPRSS15

	TMPRSS15

Q99797	MIPEP

Q9BW62	KATNAL1

	KATNAL1

Q969M2	GJA10

	GJA10

Q9UKL3	CASP8AP2

	CASP8AP2

A0A1B0GUS4	UBE2L5

P78310	CXADR

Q5W0Q7	USPL1

	IGHV1OR21-1

A6NGE7	URAD

P09429	HMGB1

	HMGB1

Q9NPH6	OBP2B

O75683	SURF6

Q15528	MED22

	MED22

O00505	KPNA3

O60287	URB1

	KPNA3

P62424	RPL7A

	RPL7A

Q3LHN0	KRTAP25-1

	CRYL1

Q15526	SURF1

	SURF1

Q15527	SURF2

Q9Y2S2	CRYL1

	SURF4

O15260	SURF4

Q8NE28	STKLD1

Q9GZR2	REXO4

	REXO4

Q99626	CDX2

P57087	JAM2

Q76LX8	ADAMTS13

	ADAMTS13

	JAM2

Q9UGQ2	CACFD1

	CACFD1

Q9UGQ3	SLC2A6

	SLC2A6

	ABO

P56750	CLDN17

Q9H9S4	CAB39L

	CAB39L

Q96J86	CYYR1

P82932	MRPS6

Q3LI83	KRTAP24-1

P53794	SLC5A3

Q9Y5T4	DNAJC15

P47775	GPR12

Q13112	CHAF1B

	WASF3

Q9UPY6	WASF3

Q13470	TNK1

	TNK1

Q9NRY6	PLSCR3

	PLSCR3

	TMEM256-PLSCR3

Q8N2U0	TMEM256

	TMEM256

Q8NFZ4	NLGN2

	NLGN2

Q8N4L4	SPEM1

Q0P670	SPEM2

	SPEM2

A0A1B0GUW6	SPEM3

	SPEM3

Q8N9M5	TMEM102

	FGF11

Q92914	FGF11

P11230	CHRNB1

	CHRNB1

Q9P1Z0	ZBTB4

P0C7Q6	SLC35G6

	POLR2A

O95104	SCAF4

O15394	NCAM2

	NCAM2

P56748	CLDN8

B9A014	C21orf140

	NAT8

	TPRKB

	DUSP11

	KAT6B

Q8WYB5	KAT6B

	C2orf78

	NAT8B

P57058	HUNK

	HUNK

Q9NYK6	C21orf91

	C21orf91

Q68J44	DUSP29

	POSTN

Q15063	POSTN

Q14149	MORC3

	MORC3

	RPS6KA1

Q15418	RPS6KA1

Q9Y2H6	FNDC3A

	FNDC3A

Q9Y5B6	PAXBP1

Q9Y693	LHFPL6

	PAXBP1

Q9NYP8	C21orf62

	C21orf62

Q9UKA4	AKAP11

Q08AG7	MZT1

Q86XN7	PROSER1

	PROSER1

Q86UT8	CENATAC

	CENATAC

	RPS25

P62851	RPS25

Q5W0A0	ERICH6B

	TRAPPC4

Q9Y296	TRAPPC4

Q9Y4L1	HYOU1

	HYOU1

Q8WXW3	PIBF1

	PIBF1

	VPS11

	SLC37A4

O43826	SLC37A4

Q6PGQ7	BORA

	BORA

Q9NR64	KLHL1

	KLHL1

Q9P2D0	IBTK

	IBTK

Q92664	GTF3A

	GTF3A

Q13641	TPBG

	ELF1

Q92835	INPP5D

	INPP5D

P32519	ELF1

	ATG16L1

Q676U5	ATG16L1

	SAG

P10523	SAG

	TRIM71

	CNOT10

	SCEL

O95171	SCEL

Q70HW3	SLC25A26

	SLC25A26

A9QM74	KPNA7

Q5SZK8	FREM2

P86481	PRR20B

	TBC1D4

O60343	TBC1D4

P86480	PRR20D

O43597	SPRY2

P53985	SLC16A1

	SLC16A1

P86478	PRR20E

P61960	UFM1

	UFM1

Q13887	KLF5

Q8NA61	CBY2

	CBY2

	UBAC2

