Entry	PROSITE
A0A087X1C5	PS00086;
A0A0B4J2F0	
A0A0B4J2F2	PS00107;PS50011;PS00108;PS50030;
A0A0C5B5G6	
A0A0K2S4Q6	PS50835;
A0A0U1RRE5	
A0A1B0GTW7	PS00142;
A0AV02	
A0AV96	PS50102;
A0AVF1	PS50293;
A0AVI4	
A0AVK6	
A0AVT1	
A0FGR8	PS50004;PS51847;
A0FGR9	PS50004;PS51847;
A0JLT2	
A0JNW5	
A0JP26	PS50297;PS50088;
A0M8Q6	PS50835;PS00290;
A0MZ66	
A0PJK1	PS00457;PS50283;
A0PJY2	PS00028;PS50157;
A0PK00	
A0PK11	
A1A4S6	PS50003;PS50238;PS50002;
A1A4Y4	PS51716;
A1A519	
A1A5B4	
A1A5C7	PS50850;PS00216;
A1E959	
A1KXE4	
A1KZ92	PS50835;PS51450;PS50292;PS01208;PS50184;
A1L0T0	PS00187;
A1L167	PS50127;
A1L190	
A1L390	PS50010;PS50003;
A1L3X0	PS01188;
A1L4H1	PS00420;PS50287;
A1L4K1	PS50188;PS50853;
A1X283	PS50195;PS50002;
A1XBS5	
A1Z1Q3	PS51154;
A2A288	PS50103;
A2A2Y4	PS00660;PS50057;
A2IDD5	
A2PYH4	PS51192;PS51194;
A2RRP1	
A2RTX5	PS50862;PS51880;
A2RU14	
A2RU30	
A2RU49	
A2RUB1	PS00012;
A2RUB6	
A2RUC4	PS51184;
A2RUH7	PS50853;PS50835;
A2VDJ0	
A2VEC9	PS01225;PS00022;PS50022;PS01209;PS50068;PS50092;PS01208;PS50184;PS51233;
A3KMH1	PS50234;
A4D0S4	PS00022;PS01186;PS01248;PS50027;PS51116;PS51117;
A4D126	PS01295;
A4D161	
A4D1B5	
A4D1E9	PS51710;PS51883;
A4D1P6	PS50082;PS50294;
A4D1T9	PS50240;
A4D256	PS00383;PS50056;PS50054;
A4D2B0	
A4D2B8	PS00058;
A4GXA9	
A4UGR9	PS51389;
A5A3E0	PS00432;PS01132;PS50297;PS50088;
A5D8T8	PS00615;PS50041;PS00022;PS01186;PS50026;
A5D8V6	PS51314;
A5D8V7	
A5D8W1	
A5LHX3	PS00854;PS51476;
A5PKW4	PS50003;PS50190;
A5PLL7	
A5X5Y0	PS00236;
A5YKK6	
A5YM72	PS50975;
A6BM72	PS00022;PS01186;PS50026;PS51041;
A6H8Y1	
A6H8Z2	
A6NC98	
A6NCS4	PS00027;PS50071;
A6ND01	
A6ND36	
A6NDB9	
A6NDE4	PS50102;
A6NDG6	
A6NDV4	PS00022;PS01186;
A6NED2	PS00626;PS50012;
A6NEM1	
A6NFA1	
A6NFQ2	PS51723;
A6NFX1	
A6NFY7	
A6NGG8	
A6NGQ2	
A6NGU5	PS00462;
A6NHL2	PS00227;
A6NHR9	
A6NHX0	
A6NI15	PS50888;
A6NI61	
A6NI73	
A6NIH7	
A6NIX2	PS00478;PS50023;
A6NJ46	PS00027;PS50071;
A6NJ78	
A6NK06	
A6NK58	PS51733;
A6NK89	PS50200;
A6NKB5	
A6NMY6	PS00223;PS51897;
A6NMZ7	PS50234;
A6NNB3	
A6NNM8	PS51221;
A6NNN8	
A6NNY8	PS00972;PS00973;PS50235;
